text,gold_labels,explanations
"( Text ) Sofia , February 15 ( BTA ) -- Today the two main political forces in Bulgaria , the Bulgarian Socialist ( formerly Communist ) Party ( BSP ) and the Union of Democratic Forces ( SDS ) announced their stand on the possible airstrikes in Bosnia five days before the expiry of NATO 's ultimatum .","[['BTA', 'OrgBased_In', 'Sofia'], ['Bulgarian Socialist ( formerly Communist ) Party', 'OrgBased_In', 'Bulgaria'], ['BSP', 'OrgBased_In', 'Bulgaria'], ['Union of Democratic Forces', 'OrgBased_In', 'Bulgaria'], ['SDS', 'OrgBased_In', 'Bulgaria']]","Explanation: BTA is an organization based in Sofia, who reported on an other Bulgarian organizations called the Bulgarian Socialist Party, and Union of Democratic Forces."
"Dole 's wife , Elizabeth , is a native of Salisbury , N.C .","[['Elizabeth', 'Live_In', 'Salisbury , N.C']]","Explanation: Elizabeth Dole is a native of Salisbury, N.C., therefore it can be concluded that Elizabeth Dole Lives In Salisbury, N.C."
"Prime Brian Mulroney 's Progressive Conservative Party won its second consecutive majority government in the election , and he signed the trade pact with President Reagan in January 1988 .","[['Brian Mulroney', 'Work_For', 'Progressive Conservative Party']]","Explanation: Sine Brian Mulroney's Progressive Conservative Party won the election, it can be concluded that Brian Mulroney works for the Progressive Conservative Party."
"Jeffrey Bander , vice for development of new products at American Express , said the credit card company conducted two different research projects before launching its weather phone.","[['Jeffrey Bander', 'Work_For', 'American Express']]","Explanation: Since Jeffrey Bander is the vice president of development for American Express, it can be concluded that Jeffrey Bander Works For American Express."
"DAYTON , Ohio ( AP )","[['DAYTON', 'Located_In', 'Ohio'], ['AP', 'OrgBased_In', 'DAYTON'], ['AP', 'OrgBased_In', 'Ohio']]","Explanation: AP is an organization based in Dayton, Ohio. Consequently, Dayton is located in Ohio"
"` ` It 's not going to make you a whole bunch of money , but that 's not why we 're doing it , ' ' said Phil Fuhrer , vice of Gannett New Media. 1-900-WEATHER offers callers the current weather and a three-day forecast , plus skiing and highway conditions in the winter and coastal reports during the summer.","[['Phil Fuhrer', 'Work_For', 'Gannett New Media.']]","Explanation: Since Phil Fuhrer is the vice of Gannett New Media, it can be concluded that Phil Fuhrer Works For Gannett New Media."
"Sam Kadet of the corporate law firm of Skadden , Arps said Popeyes could give Church 's notice on Thursday that it planned to proceed with the takeover attempt and deliver the information to Church 's after five business days .","[['Sam Kadet', 'Work_For', 'Skadden , Arps']]","Explanation: Sam Kadet is of the corporate law firm Skadden, Arps and therefore it can be concluded that Sam Kadet Works For Skadden, Arps."
"` ` This is really hurting Heuchelheim , ' ' the town 's mayor Willi Marx told The Associated Press in an interview at his office earlier this month .","[['Willi Marx', 'Live_In', 'Heuchelheim']]","Explanation: Willi Marx is the mayor of Heuchelheim, therefore it can be concluded that Willi Marx Lives In Heuchelheim."
"Illinois Gov. James Thompson signed legislation last month scrapping Chicago 's central school board next July , to be replaced by parent-run councils empowered to set budgets and hire and fire principals .","[['James Thompson', 'Live_In', 'Illinois']]","Explanation: James Thompson is the gov. of Illinois, therefore it can be concluded that James Thompson Lives In Illinois."
Serbia is the largest of Yugoslavia 's six republics.,"[['Serbia', 'Located_In', 'Yugoslavia']]","Explanation: Since Serbia is largest of Yugoslavia's republics, it can be concluded that Serbia is Located In Yugoslavia."
"On this date : In 1843 , the 25th President of the United States , William McKinley , was born in Niles , Ohio .","[['William McKinley', 'Live_In', 'Niles , Ohio']]","Explanation: Since William McKinley was born in Niles, Ohio, it can be concluded that William McKinley Lives In Niles, Ohio."
"The Warren Commission concluded that Oswald , acting alone , fired the shots that killed Kennedy and wounded John Connally , then the Texas governor .","[['Oswald', 'Kill', 'Kennedy']]","Explanation: Since Oswald fired the gun shots that killed Kennedy, it can be concluded that Oswald killed Kennedy."
"Derwinski , a Republican from Chicago who served 24 years in Congress , publicly denied 1978 allegations that he leaked the information and refused to testify in the matter before a federal grand jury and the House Ethics Committee .","[['Derwinski', 'Live_In', 'Chicago'], ['Derwinski', 'Work_For', 'Congress']]","Explanation: Derwinski was a republican from Chicago, therefore it can be concluded that he lived in Chicago. Since he was also a member of congress, it can be concluded that he worked for congress."
"The federal appeals court threw out the death sentence of John Harvey Adamson , convicted of murdering Phoenix newspaper reporter Don Bolles in 1976 .","[['John Harvey Adamson', 'Kill', 'Don Bolles']]","Explanation: John Harvey Adamson was convicted of convicted of murdering Phoenix newspaper reporter Don Bolles, therefore it can be concluded that John Harvey Adamson killed Don Bolles."
"BRISBANE , Australia ( AP )","[['BRISBANE', 'Located_In', 'Australia'], ['AP', 'OrgBased_In', 'BRISBANE']]","Explanation: BRISBANE is a city located in Australia. AP is an organization based in the city of BRISBANE."
