input,relations,prefix,gold_relations
"On Monday , five ethnic Tamil students were killed in Trincomalee in eastern Sri Lanka .","[['Sri Lanka', 'LOC_CONTAINS', 'Trincomalee']]",NYT,"[['Sri Lanka', 'LOC_CONTAINS', 'Trincomalee']]"
"I think federalism is a very civilized way of governing , but in Iraq it could lead to separation , '' said Ahmed Sulaiman , 53 , who owns a market in the heavily Sunni Adhamiya neighborhood of Baghdad .","[['Iraq', 'LOC_CONTAINS', 'Baghdad']]",NYT,"[['Iraq', 'LOC_CONTAINS', 'Baghdad'], ['Iraq', 'LOC_CAPITAL', 'Baghdad']]"
"I think federalism is a very civilized way of governing , but in Iraq it could lead to separation , '' said Ahmed Sulaiman , 53 , who owns a market in the heavily Sunni Adhamiya neighborhood of Baghdad .","[['Iraq', 'LOC_CONTAINS', 'Baghdad'], ['Iraq', 'LOC_CAPITAL', 'Baghdad']]",NYT,"[['Iraq', 'LOC_CONTAINS', 'Baghdad'], ['Iraq', 'LOC_CAPITAL', 'Baghdad']]"
"Mr. Basayev has claimed responsibility for the worst terrorist acts in modern Russia , including the downing of two aircraft with bombs and the seizure of a public school in Beslan , both in 2004 .","[['Russia', 'LOC_CONTAINS', 'Beslan']]",NYT,"[['Russia', 'LOC_CONTAINS', 'Beslan']]"
The moves by Citigroup and Deutsche Bank are only the latest illustrations of the difficulty of retaining jobs in New York City and rebuilding the business district in Lower Manhattan .,"[['New York City', 'LOC_CONTAINS', 'Lower Manhattan']]",NYT,"[['Lower Manhattan', 'LOC_NEIGHBORHOOD', 'New York City'], ['Citigroup', 'BUS_PLACE_FOUNDED', 'New York City'], ['New York City', 'LOC_CONTAINS', 'Lower Manhattan']]"
"It is always amazing to see , as this exhibition once more demonstrates , the extent to which Dali absorbed Surrealism 's tenets while still in Spain , reading Freud word for word , devouring special magazines and catalogs from Paris and also studying firsthand the work of the original Surrealist , Hieronymus Bosch , which he saw at the Prado while studying art in Madrid .","[['Spain', 'LOC_CONTAINS', 'Madrid']]",NYT,"[['Spain', 'LOC_CAPITAL', 'Madrid'], ['Spain', 'LOC_CONTAINS', 'Madrid']]"
"Cindy Sheehan , whose antiwar protests have made her persona non grata among most Republicans , startled Senator George Allen of Virginia in the makeup room of MSNBC over the summer .","[['George Allen', 'PEO_PLACE_LIVED', 'Virginia']]",NYT,"[['George Allen', 'PEO_PLACE_LIVED', 'Virginia']]"
"Long a forlorn hope , the sequencing , or decoding , of Neanderthal DNA suddenly seems possible because of a combination of analytic work on ancient DNA by Svante Paabo , of the Max Planck Institute for Evolutionary Anthropology in Leipzig , Germany , and a new method of DNA sequencing developed by a Connecticut company , 454 Life Sciences .","[['Germany', 'LOC_CONTAINS', 'Leipzig']]",NYT,"[['Germany', 'LOC_CONTAINS', 'Leipzig']]"
"One might be had for $ 600,000 out in Manorville , but property taxes would be three to four times what the man paid in Pennsylvania , Mr. Caracciolo said , '' and the commute to Garden City would have been miserable . ''","[['Pennsylvania', 'LOC_CONTAINS', 'Manorville']]",NYT,"[['Pennsylvania', 'LOC_CONTAINS', 'Manorville']]"
"The agency has long been concerned about the Arak reactor , which is being built in the desert southwest of Tehran , and has repeatedly asked Iran to abandon the project .","[['Iran', 'LOC_CONTAINS', 'Tehran']]",NYT,"[['Iran', 'LOC_CONTAINS', 'Tehran'], ['Iran', 'LOC_CAPITAL', 'Tehran'], ['Iran', 'LOC_CONTAINS', 'Arak']]"
"The agency has long been concerned about the Arak reactor , which is being built in the desert southwest of Tehran , and has repeatedly asked Iran to abandon the project .","[['Iran', 'LOC_CONTAINS', 'Tehran'], ['Iran', 'LOC_CAPITAL', 'Tehran']]",NYT,"[['Iran', 'LOC_CONTAINS', 'Tehran'], ['Iran', 'LOC_CAPITAL', 'Tehran'], ['Iran', 'LOC_CONTAINS', 'Arak']]"
"The agency has long been concerned about the Arak reactor , which is being built in the desert southwest of Tehran , and has repeatedly asked Iran to abandon the project .","[['Iran', 'LOC_CONTAINS', 'Tehran'], ['Iran', 'LOC_CAPITAL', 'Tehran']]",NYT,"[['Iran', 'LOC_CONTAINS', 'Tehran'], ['Iran', 'LOC_CAPITAL', 'Tehran'], ['Iran', 'LOC_CONTAINS', 'Arak']]"
"Seven years old when the Germans invaded France in 1940 , Isaac Sztrymfman was the only child of Polish-Jewish emigres who made a home in a Jewish neighborhood in Paris .","[['France', 'LOC_CAPITAL', 'Paris']]",NYT,"[['France', 'LOC_CAPITAL', 'Paris'], ['France', 'LOC_ADMIN_DIVISIONS', 'Paris'], ['France', 'LOC_CONTAINS', 'Paris'], ['Paris', 'LOC_COUNTRY', 'France']]"
"Seven years old when the Germans invaded France in 1940 , Isaac Sztrymfman was the only child of Polish-Jewish emigres who made a home in a Jewish neighborhood in Paris .","[['France', 'LOC_CAPITAL', 'Paris'], ['France', 'LOC_ADMIN_DIVISIONS', 'Paris']]",NYT,"[['France', 'LOC_CAPITAL', 'Paris'], ['France', 'LOC_ADMIN_DIVISIONS', 'Paris'], ['France', 'LOC_CONTAINS', 'Paris'], ['Paris', 'LOC_COUNTRY', 'France']]"
"Seven years old when the Germans invaded France in 1940 , Isaac Sztrymfman was the only child of Polish-Jewish emigres who made a home in a Jewish neighborhood in Paris .","[['France', 'LOC_CAPITAL', 'Paris'], ['France', 'LOC_ADMIN_DIVISIONS', 'Paris'], ['France', 'LOC_CONTAINS', 'Paris']]",NYT,"[['France', 'LOC_CAPITAL', 'Paris'], ['France', 'LOC_ADMIN_DIVISIONS', 'Paris'], ['France', 'LOC_CONTAINS', 'Paris'], ['Paris', 'LOC_COUNTRY', 'France']]"
"Seven years old when the Germans invaded France in 1940 , Isaac Sztrymfman was the only child of Polish-Jewish emigres who made a home in a Jewish neighborhood in Paris .","[['France', 'LOC_CAPITAL', 'Paris'], ['France', 'LOC_ADMIN_DIVISIONS', 'Paris'], ['France', 'LOC_CONTAINS', 'Paris']]",NYT,"[['France', 'LOC_CAPITAL', 'Paris'], ['France', 'LOC_ADMIN_DIVISIONS', 'Paris'], ['France', 'LOC_CONTAINS', 'Paris'], ['Paris', 'LOC_COUNTRY', 'France']]"
"In the end , the balance of power may well lie with a very few moderate Republicans : Ms. Collins , Arlen Specter of Pennsylvania and Chuck Hagel of Nebraska .","[['Chuck Hagel', 'PEO_PLACE_LIVED', 'Nebraska']]",NYT,"[['Chuck Hagel', 'PEO_PLACE_LIVED', 'Nebraska']]"
"\*\* 1\/2 -LRB- Rating : Two and a Half Stars -RRB- Shrewsbury , England Complex and intriguing , with flowery and sweet aromas .","[['England', 'LOC_CONTAINS', 'Shrewsbury']]",NYT,"[['England', 'LOC_CONTAINS', 'Shrewsbury']]"
"He contemplated buying a brownstone in Bedford Stuyvesant , but decided he wanted more amenities and set his sights on new construction condos in Dumbo , Williamsburg , Brooklyn Heights and downtown Brooklyn .","[['Brooklyn Heights', 'LOC_NEIGHBORHOOD', 'Brooklyn']]",NYT,"[['Brooklyn Heights', 'LOC_NEIGHBORHOOD', 'Brooklyn'], ['Brooklyn', 'LOC_CONTAINS', 'Brooklyn Heights']]"
"He contemplated buying a brownstone in Bedford Stuyvesant , but decided he wanted more amenities and set his sights on new construction condos in Dumbo , Williamsburg , Brooklyn Heights and downtown Brooklyn .","[['Brooklyn Heights', 'LOC_NEIGHBORHOOD', 'Brooklyn']]",NYT,"[['Brooklyn Heights', 'LOC_NEIGHBORHOOD', 'Brooklyn'], ['Brooklyn', 'LOC_CONTAINS', 'Brooklyn Heights']]"
"The United States is expected to get two spots in February 's Olympics in Turin , Italy .","[['Italy', 'LOC_CONTAINS', 'Turin']]",NYT,"[['Italy', 'LOC_CONTAINS', 'Turin']]"
"Charlie LeDuff 's WORK AND OTHER SINS : Life in New York City and Thereabouts -LRB- Penguin , $ 15 -RRB- is a blunt and touching assortment of articles , written for The Times , that portray a city of faltering dreams , sadness and wit , often expressed in the crowded bars of Brooklyn and Manhattan .","[['New York City', 'LOC_CONTAINS', 'Manhattan']]",NYT,"[['New York City', 'LOC_CONTAINS', 'Manhattan'], ['New York City', 'LOC_CONTAINS', 'Brooklyn']]"
"Charlie LeDuff 's WORK AND OTHER SINS : Life in New York City and Thereabouts -LRB- Penguin , $ 15 -RRB- is a blunt and touching assortment of articles , written for The Times , that portray a city of faltering dreams , sadness and wit , often expressed in the crowded bars of Brooklyn and Manhattan .","[['New York City', 'LOC_CONTAINS', 'Manhattan'], ['New York City', 'LOC_CONTAINS', 'Brooklyn']]",NYT,"[['New York City', 'LOC_CONTAINS', 'Manhattan'], ['New York City', 'LOC_CONTAINS', 'Brooklyn']]"
"He is a son of Jean and John C. Friedmann of Princeton , N.J. His mother edits book reviews for Wellesley magazine , the alumnae publication for Wellesley College in Massachusetts .","[['Massachusetts', 'LOC_CONTAINS', 'Wellesley College']]",NYT,"[['Massachusetts', 'LOC_CONTAINS', 'Wellesley'], ['Wellesley', 'LOC_CONTAINS', 'Wellesley College']]"
"He is a son of Jean and John C. Friedmann of Princeton , N.J. His mother edits book reviews for Wellesley magazine , the alumnae publication for Wellesley College in Massachusetts .","[['Massachusetts', 'LOC_CONTAINS', 'Wellesley College']]",NYT,"[['Massachusetts', 'LOC_CONTAINS', 'Wellesley'], ['Wellesley', 'LOC_CONTAINS', 'Wellesley College']]"
"Ebersol said Jack Welch , who was the chairman of General Electric , the parent company of NBC , was so enamored of Madden that he planned to give him a locomotive and parlor car for travel the country during the season .","[['Jack Welch', 'BUS_COMPANY', 'General Electric']]",NYT,"[['Jack Welch', 'BUS_COMPANY', 'General Electric']]"
A8 A Focus Shift in Afghanistan President Hamid Karzai of Afghanistan made a plea to international donors at an aid conference in Kabul to shift their focus to helping the country 's struggling private sector .,"[['Afghanistan', 'LOC_CAPITAL', 'Kabul']]",NYT,"[['Afghanistan', 'LOC_CAPITAL', 'Kabul'], ['Hamid Karzai', 'PEO_NATIONALITY', 'Afghanistan'], ['Afghanistan', 'LOC_CONTAINS', 'Kabul'], ['Afghanistan', 'LOC_CAPITAL', 'Kabul'], ['Hamid Karzai', 'PEO_NATIONALITY', 'Afghanistan'], ['Afghanistan', 'LOC_CONTAINS', 'Kabul']]"
A8 A Focus Shift in Afghanistan President Hamid Karzai of Afghanistan made a plea to international donors at an aid conference in Kabul to shift their focus to helping the country 's struggling private sector .,"[['Afghanistan', 'LOC_CAPITAL', 'Kabul']]",NYT,"[['Afghanistan', 'LOC_CAPITAL', 'Kabul'], ['Hamid Karzai', 'PEO_NATIONALITY', 'Afghanistan'], ['Afghanistan', 'LOC_CONTAINS', 'Kabul'], ['Afghanistan', 'LOC_CAPITAL', 'Kabul'], ['Hamid Karzai', 'PEO_NATIONALITY', 'Afghanistan'], ['Afghanistan', 'LOC_CONTAINS', 'Kabul']]"
A8 A Focus Shift in Afghanistan President Hamid Karzai of Afghanistan made a plea to international donors at an aid conference in Kabul to shift their focus to helping the country 's struggling private sector .,"[['Afghanistan', 'LOC_CAPITAL', 'Kabul'], ['Afghanistan', 'LOC_CONTAINS', 'Kabul']]",NYT,"[['Afghanistan', 'LOC_CAPITAL', 'Kabul'], ['Hamid Karzai', 'PEO_NATIONALITY', 'Afghanistan'], ['Afghanistan', 'LOC_CONTAINS', 'Kabul'], ['Afghanistan', 'LOC_CAPITAL', 'Kabul'], ['Hamid Karzai', 'PEO_NATIONALITY', 'Afghanistan'], ['Afghanistan', 'LOC_CONTAINS', 'Kabul']]"
A8 A Focus Shift in Afghanistan President Hamid Karzai of Afghanistan made a plea to international donors at an aid conference in Kabul to shift their focus to helping the country 's struggling private sector .,"[['Afghanistan', 'LOC_CAPITAL', 'Kabul'], ['Afghanistan', 'LOC_CONTAINS', 'Kabul'], ['Afghanistan', 'LOC_CAPITAL', 'Kabul']]",NYT,"[['Afghanistan', 'LOC_CAPITAL', 'Kabul'], ['Hamid Karzai', 'PEO_NATIONALITY', 'Afghanistan'], ['Afghanistan', 'LOC_CONTAINS', 'Kabul'], ['Afghanistan', 'LOC_CAPITAL', 'Kabul'], ['Hamid Karzai', 'PEO_NATIONALITY', 'Afghanistan'], ['Afghanistan', 'LOC_CONTAINS', 'Kabul']]"
A8 A Focus Shift in Afghanistan President Hamid Karzai of Afghanistan made a plea to international donors at an aid conference in Kabul to shift their focus to helping the country 's struggling private sector .,"[['Afghanistan', 'LOC_CAPITAL', 'Kabul'], ['Afghanistan', 'LOC_CONTAINS', 'Kabul'], ['Afghanistan', 'LOC_CAPITAL', 'Kabul']]",NYT,"[['Afghanistan', 'LOC_CAPITAL', 'Kabul'], ['Hamid Karzai', 'PEO_NATIONALITY', 'Afghanistan'], ['Afghanistan', 'LOC_CONTAINS', 'Kabul'], ['Afghanistan', 'LOC_CAPITAL', 'Kabul'], ['Hamid Karzai', 'PEO_NATIONALITY', 'Afghanistan'], ['Afghanistan', 'LOC_CONTAINS', 'Kabul']]"
A8 A Focus Shift in Afghanistan President Hamid Karzai of Afghanistan made a plea to international donors at an aid conference in Kabul to shift their focus to helping the country 's struggling private sector .,"[['Afghanistan', 'LOC_CAPITAL', 'Kabul'], ['Afghanistan', 'LOC_CONTAINS', 'Kabul'], ['Afghanistan', 'LOC_CAPITAL', 'Kabul'], ['Afghanistan', 'LOC_CONTAINS', 'Kabul']]",NYT,"[['Afghanistan', 'LOC_CAPITAL', 'Kabul'], ['Hamid Karzai', 'PEO_NATIONALITY', 'Afghanistan'], ['Afghanistan', 'LOC_CONTAINS', 'Kabul'], ['Afghanistan', 'LOC_CAPITAL', 'Kabul'], ['Hamid Karzai', 'PEO_NATIONALITY', 'Afghanistan'], ['Afghanistan', 'LOC_CONTAINS', 'Kabul']]"
"Monica Camille Drake and Gregory Fabian Winter are to be married this afternoon in Yellow Springs , Ohio .","[['Ohio', 'LOC_CONTAINS', 'Yellow Springs']]",NYT,"[['Ohio', 'LOC_CONTAINS', 'Yellow Springs']]"
"So when she describes Wright 's Darwin D. Martin House , in Buffalo , where she has designed a 15,000-square-foot visitor center -LRB- expected to break ground next year -RRB- , Ms. Mori does n't mention the pattern of the stained-glass windows ; she talks about Wright 's relationship to transcendentalism .","[['Buffalo', 'LOC_CONTAINS', 'Darwin D. Martin House']]",NYT,"[['Buffalo', 'LOC_CONTAINS', 'Darwin D. Martin House']]"
"To make his case , Dr. von Hagens invited two journalists to Dalian for a tour of his facility , which he said was the first center in China to preserve bodies .","[['China', 'LOC_CONTAINS', 'Dalian']]",NYT,"[['China', 'LOC_CONTAINS', 'Dalian']]"
"Born April 13 , 1910 , in New York City , he attended New York University -LRB- BS -RRB- , St. Louis University -LRB- MD -RRB- and Harvard -LRB- MPH -RRB- .","[['New York City', 'LOC_CONTAINS', 'New York University']]",NYT,"[['New York City', 'LOC_CONTAINS', 'New York University']]"
"So why can users view Baghdad , the capital of Iraq , in stunning detail , but not Hartford , the state 's capital ?","[['Iraq', 'LOC_CAPITAL', 'Baghdad']]",NYT,"[['Iraq', 'LOC_CAPITAL', 'Baghdad'], ['Iraq', 'LOC_CONTAINS', 'Baghdad']]"
"So why can users view Baghdad , the capital of Iraq , in stunning detail , but not Hartford , the state 's capital ?","[['Iraq', 'LOC_CAPITAL', 'Baghdad'], ['Iraq', 'LOC_CONTAINS', 'Baghdad']]",NYT,"[['Iraq', 'LOC_CAPITAL', 'Baghdad'], ['Iraq', 'LOC_CONTAINS', 'Baghdad']]"
"She grew up in southern Henan Province in the city of Nanyang , where she watched dramas about judges in ancient China .","[['China', 'LOC_CONTAINS', 'Nanyang']]",NYT,"[['China', 'LOC_CONTAINS', 'Nanyang']]"
"He became the majority shareholder in Durbin & Greenbrier Valley Railroad , a 112-mile stretch of track that runs along the Cheat River in West Virginia .","[['West Virginia', 'LOC_CONTAINS', 'Cheat River']]",NYT,"[['West Virginia', 'LOC_CONTAINS', 'Cheat River']]"
"The company works with carriers in Taiwan and China , and Siemens 's customers in Europe and elsewhere .","[['China', 'LOC_ADMIN_DIVISIONS', 'Taiwan']]",NYT,"[['China', 'LOC_ADMIN_DIVISIONS', 'Taiwan'], ['Taiwan', 'LOC_COUNTRY', 'China']]"
"The company works with carriers in Taiwan and China , and Siemens 's customers in Europe and elsewhere .","[['China', 'LOC_ADMIN_DIVISIONS', 'Taiwan']]",NYT,"[['China', 'LOC_ADMIN_DIVISIONS', 'Taiwan'], ['Taiwan', 'LOC_COUNTRY', 'China']]"
"Raymond J. McGuire , a co-head of the firm 's highly regarded mergers and acquisitions division , is leaving to join Citigroup as co-head of investment banking , Citigroup said yesterday .","[['Raymond J. McGuire', 'BUS_COMPANY', 'Citigroup']]",NYT,"[['Raymond J. McGuire', 'BUS_COMPANY', 'Citigroup'], ['Raymond J. McGuire', 'BUS_COMPANY', 'Citigroup']]"
"Raymond J. McGuire , a co-head of the firm 's highly regarded mergers and acquisitions division , is leaving to join Citigroup as co-head of investment banking , Citigroup said yesterday .","[['Raymond J. McGuire', 'BUS_COMPANY', 'Citigroup'], ['Raymond J. McGuire', 'BUS_COMPANY', 'Citigroup']]",NYT,"[['Raymond J. McGuire', 'BUS_COMPANY', 'Citigroup'], ['Raymond J. McGuire', 'BUS_COMPANY', 'Citigroup']]"
"-------------------- Troops Battle Rebels in Mosul BAGHDAD , Iraq , May 17 -LRB- AP -RRB- -- American troops backed by helicopters battled scores of insurgents holed up in two houses in the northern city of Mosul , the military said Tuesday .","[['Iraq', 'LOC_CONTAINS', 'Mosul']]",NYT,"[['Iraq', 'LOC_CONTAINS', 'Mosul']]"
"Anand Mahindra , vice chairman and managing director of Mahindra & Mahindra , the flagship of a diverse group whose interests include trucks and hospitality , said in a telephone interview from South Africa , '' India is seen as one of the world 's most dynamic economies , and liquidity is rapidly flowing toward where this dynamism is evident . ''","[['Anand Mahindra', 'PEO_NATIONALITY', 'India']]",NYT,"[['Anand Mahindra', 'PEO_NATIONALITY', 'India']]"
"A7 In an unusual public rebuke , President Jalal Talabani angrily criticized other Arab states , saying they had insulted Iraq by not sending diplomats to Baghdad and had not sent condolence letters about the stampede last week in which almost 1,000 Shiite pilgrims were killed .","[['Iraq', 'LOC_CONTAINS', 'Baghdad']]",NYT,"[['Iraq', 'LOC_CONTAINS', 'Baghdad'], ['Iraq', 'LOC_CAPITAL', 'Baghdad']]"
"A7 In an unusual public rebuke , President Jalal Talabani angrily criticized other Arab states , saying they had insulted Iraq by not sending diplomats to Baghdad and had not sent condolence letters about the stampede last week in which almost 1,000 Shiite pilgrims were killed .","[['Iraq', 'LOC_CONTAINS', 'Baghdad'], ['Iraq', 'LOC_CAPITAL', 'Baghdad']]",NYT,"[['Iraq', 'LOC_CONTAINS', 'Baghdad'], ['Iraq', 'LOC_CAPITAL', 'Baghdad']]"
A17 Quarter Eagle Coin Confirmed A coin owned by generations of a California family has been confirmed by numismatists as one of 12 known Quarter Eagle coins that were made of Gold Rush ore in 1854 at the San Francisco Mint .,"[['California', 'LOC_CONTAINS', 'San Francisco']]",NYT,"[['California', 'LOC_CONTAINS', 'San Francisco Mint']]"
"Mr. Tasini , who led the National Writers Union from 1990 until 2003 , had never run for office before and was hoping to capture some of the antiwar sentiment that Ned Lamont capitalized on in his victory over Senator Joseph I. Lieberman in the Connecticut Democratic primary .","[['Ned Lamont', 'PEO_PLACE_LIVED', 'Connecticut']]",NYT,"[['Ned Lamont', 'PEO_PLACE_LIVED', 'Connecticut']]"
