input,relations,prefix,gold_relations
"` ` He was going pretty fast , wasn 't he ? ' ' said Daniel Urquhart , 8 , of Aumsville , whose slug crept to the championship.","[['Daniel Urquhart', 'Live_In', 'Aumsville']]",CONLL04,"[['Daniel Urquhart', 'Live_In', 'Aumsville']]"
"On this date : In 1833 , Benjamin Harrison , the 23rd President of the United States , was born in North Bend , Ohio .","[['Benjamin Harrison', 'Live_In', 'North Bend']]",CONLL04,"[['Benjamin Harrison', 'Live_In', 'North Bend , Ohio']]"
The book said Khrushchev 's order to ignore the blockade was disclosed in a largely unknown work by dissident Soviet historian Roy Medvedev .,"[['Roy Medvedev', 'Live_In', 'Soviet']]",CONLL04,"[['Khrushchev', 'Live_In', 'Soviet'], ['Roy Medvedev', 'Live_In', 'Soviet']]"
"EDITOR 'S NOTE : Walter R. Mears , vice and columnist for The Associated Press , has reported on Washington and national politics for more than 25 years .","[['Walter R. Mears', 'Work_For', 'The Associated Press']]",CONLL04,"[['Walter R. Mears', 'Work_For', 'The Associated Press']]"
"` ` The Germans just tunneled like rabbits , ' ' said Gerald Przenislawski , who operates La Valette Underground Military Museum.","[['Gerald Przenislawski', 'Work_For', 'La Valette Underground Military Museum']]",CONLL04,"[['Gerald Przenislawski', 'Work_For', 'La Valette Underground Military Museum.']]"
"` ` With South Carolina being Jesse Jackson 's home state , there was a very strong incentive in the black community. ' '","[['Jesse Jackson', 'Live_In', 'South Carolina']]",CONLL04,"[['Jesse Jackson', 'Live_In', 'South Carolina']]"
"Photo , Dueling Over a GunIt is a scene seared into the memories of Americans old enough to have watched it that November day in 1963 : Jack Ruby firing his .38-caliber Colt Cobra , above , at Lee Harvey Oswald , the man who had assassinated President John F. Kennedy two days earlier.","[['Jack Ruby', 'Kill', 'Lee Harvey Oswald']]",CONLL04,"[['Jack Ruby', 'Kill', 'Lee Harvey Oswald']]"
"In a statement at the airport before his departure , Cetin said that Turkey welcomed this step taken by Bosnians and Croats and hoped that real peace comes to Bosnia-Herzegovina when Serbs join this process too .","[['Cetin', 'Live_In', 'Turkey']]",CONLL04,"[['Cetin', 'Live_In', 'Turkey']]"
"Hernandez Galicia 's allegedly corrupt Mexican Oil Workers Union controls more than half the lucrative drilling contracts issued by the state oil monopoly , Pemex .","[['Hernandez Galicia', 'Work_For', 'Mexican Oil Workers Union']]",CONLL04,"[['Hernandez Galicia', 'Work_For', 'Mexican Oil Workers Union']]"
"` ` The Challenger accident marked a major change in the U.S. outlook and policies with respect to the flight of other than NASA astronauts , ' ' the National Aeronautics and Space Administration said in a policy statement .","[['National Aeronautics and Space Administration', 'OrgBased_In', 'U.S.']]",CONLL04,"[['NASA', 'OrgBased_In', 'U.S.'], ['National Aeronautics and Space Administration', 'OrgBased_In', 'U.S.']]"
"` ` It 's not going to make you a whole bunch of money , but that 's not why we 're doing it , ' ' said Phil Fuhrer , vice of Gannett New Media. 1-900-WEATHER offers callers the current weather and a three-day forecast , plus skiing and highway conditions in the winter and coastal reports during the summer.","[['Phil Fuhrer', 'Work_For', 'Gannett New Media']]",CONLL04,"[['Phil Fuhrer', 'Work_For', 'Gannett New Media.']]"
"In 1865 , four people were hanged in Washington , D.C. , after being convicted of conspiring with John Wilkes Booth in the assassination of President Lincoln .","[['John Wilkes Booth', 'Kill', 'President Lincoln']]",CONLL04,"[['John Wilkes Booth', 'Kill', 'President Lincoln']]"
"San Gabriel River Channel , Azusa , Calif. ;","[['San Gabriel River Channel', 'Located_In', 'Azusa'], ['Azusa', 'Located_In', 'Calif.']]",CONLL04,"[['San Gabriel River Channel', 'Located_In', 'Azusa'], ['San Gabriel River Channel', 'Located_In', 'Calif.'], ['Azusa', 'Located_In', 'Calif.']]"
"Derwinski , a Republican from Chicago who served 24 years in Congress , publicly denied 1978 allegations that he leaked the information and refused to testify in the matter before a federal grand jury and the House Ethics Committee .","[['Derwinski', 'Live_In', 'Chicago']]",CONLL04,"[['Derwinski', 'Live_In', 'Chicago'], ['Derwinski', 'Work_For', 'Congress']]"
"( Text ) Police Major Pramot Pansakun , the commander of the Region 2 Border Patrol Police ( BPP ) , Khon Kaen , and Thai and American narcotics suppression officials accompanied by reporters , spent more than 2 hours climbing a high mountain to destroy a Hmong poppy field located along the border between Dan Sai District in Loei Province , Nakhon Thai District in Phitsanulok Province , and Lomsak District in Phetchabun Province .","[['Pramot Pansakun', 'Work_For', 'Border Patrol Police'], ['Dan Sai District', 'Located_In', 'Loei Province'], ['Nakhon Thai District', 'Located_In', 'Phitsanulok Province'], ['Lomsak District', 'Located_In', 'Phetchabun Province']]",CONLL04,"[['Pramot Pansakun', 'Work_For', 'Region 2 Border Patrol Police'], ['Dan Sai District', 'Located_In', 'Loei Province'], ['Nakhon Thai District', 'Located_In', 'Phitsanulok Province'], ['Lomsak District', 'Located_In', 'Phetchabun Province']]"
"Cheek , 53 , is a former chief and charge in Addis Ababa , Ethiopia.","[['Addis Ababa', 'Located_In', 'Ethiopia']]",CONLL04,"[['Addis Ababa', 'Located_In', 'Ethiopia.']]"
"` ` I don 't think there are any good answers why , ' ' said Virginia Towle of Wallingford , a family friend.","[['Virginia Towle', 'Live_In', 'Wallingford']]",CONLL04,"[['Virginia Towle', 'Live_In', 'Wallingford']]"
"Hundreds of children and adults sporting cowboy boots and hats turned out Wednesday to watch as Winterset 's busiest street was named for John Wayne , the community 's most famous native son .","[['John Wayne', 'Live_In', 'Winterset']]",CONLL04,"[['John Wayne', 'Live_In', 'Winterset']]"
It was filmed on location in Tokyo and Kyoto and is a co-production of Children 's Television Worship and NHK network in Japan .,"[['Tokyo', 'Located_In', 'Japan'], ['Kyoto', 'Located_In', 'Japan']]",CONLL04,"[['Tokyo', 'Located_In', 'Japan'], ['Kyoto', 'Located_In', 'Japan']]"
"Evaluating Juppe 's visit , Cetin said that the French Government was not displaying a disturbing stand toward Turkey and was very careful in not intervening in Turkey 's internal affairs .","[['Cetin', 'Live_In', 'Turkey'], ['Cetin', 'Live_In', 'Turkey']]",CONLL04,"[['Juppe', 'Work_For', 'French Government'], ['Cetin', 'Live_In', 'Turkey'], ['Cetin', 'Live_In', 'Turkey']]"
"Jose Vicente Maldonado , the Ecuadoran minister of industry , commerce , and integration , said that the foreign of the Andean Group ( Colombia , Bolivia , Ecuador , Peru , and Venezuela ) , will study a new date for the summit .","[['Andean Group', 'OrgBased_In', 'Colombia'], ['Andean Group', 'OrgBased_In', 'Bolivia'], ['Andean Group', 'OrgBased_In', 'Ecuador'], ['Andean Group', 'OrgBased_In', 'Peru'], ['Andean Group', 'OrgBased_In', 'Venezuela']]",CONLL04,"[['Andean Group', 'OrgBased_In', 'Colombia'], ['Andean Group', 'OrgBased_In', 'Bolivia'], ['Andean Group', 'OrgBased_In', 'Ecuador'], ['Andean Group', 'OrgBased_In', 'Peru'], ['Andean Group', 'OrgBased_In', 'Venezuela']]"
"Dole 's wife , Elizabeth , is a native of Salisbury , N.C .","[['Elizabeth Dole', 'Live_In', 'Salisbury']]",CONLL04,"[['Elizabeth', 'Live_In', 'Salisbury , N.C']]"
"( Text ) Sofia , February 15 ( BTA ) -- Today the two main political forces in Bulgaria , the Bulgarian Socialist ( formerly Communist ) Party ( BSP ) and the Union of Democratic Forces ( SDS ) announced their stand on the possible airstrikes in Bosnia five days before the expiry of NATO 's ultimatum .","[['Bulgarian Socialist', 'OrgBased_In', 'Bulgaria'], ['Union of Democratic Forces', 'OrgBased_In', 'Bulgaria']]",CONLL04,"[['BTA', 'OrgBased_In', 'Sofia'], ['Bulgarian Socialist ( formerly Communist ) Party', 'OrgBased_In', 'Bulgaria'], ['BSP', 'OrgBased_In', 'Bulgaria'], ['Union of Democratic Forces', 'OrgBased_In', 'Bulgaria'], ['SDS', 'OrgBased_In', 'Bulgaria']]"
"The program , financed with a grant from the United States Agency for International Development , is aimed at reducing infant mortality in Madagascar , an island nation in the Indian Ocean off the eastern coast of Africa.","[['Madagascar', 'Located_In', 'Indian Ocean']]",CONLL04,"[['Madagascar', 'Located_In', 'Indian Ocean']]"
"Minox has not shown a profit since 1981 , and on April 1 , 1988 , Robert C. Corduwener , a Netherlands businessman bought a 51 percent share of the company to take control from the Rinn family .","[['Robert C. Corduwener', 'Live_In', 'Netherlands']]",CONLL04,"[['Robert C. Corduwener', 'Live_In', 'Netherlands']]"
"Volcanoes in Nicaragua and Indonesia , deforestation in Brazil and Madagascar , the Sahara desert in Africa and global beach erosion are among the subjects to be photographed .","[['Sahara desert', 'Located_In', 'Africa']]",CONLL04,"[['Sahara desert', 'Located_In', 'Africa']]"
"` ` I think at this moment they fear making a wrong move _ whether they should seek political asylum or use other reasons to remain here , ' ' said Jeff Shia , president of the Kiangsu Chekiang Association , a non-profit group that helps new Chinese immigrants establish themselves in the city.","[['Jeff Shia', 'Work_For', 'Kiangsu Chekiang Association']]",CONLL04,"[['Jeff Shia', 'Work_For', 'Kiangsu Chekiang Association']]"
"The term ` ` 30 Seconds Over Tokyo ' ' was the title of a popular movie about the raid. _Anzio _ The Anzio beachhead , 33 miles south of Rome , saw some of the bloodiest fighting of World War II and accounted for many of the 10 , 000 U.S. battle deaths in Italy the first half of 1944 .","[['Anzio', 'Located_In', 'Italy']]",CONLL04,"[['Anzio', 'Located_In', 'Italy']]"
"Anna Sandhu Ray , who 10 years ago Thursday wed the man convicted of killing the Rev. Martin Luther King Jr. , said on her anniversary that she plans to divorce James Earl Ray .","[['James Earl Ray', 'Kill', 'Rev. Martin Luther King Jr.']]",CONLL04,"[['James Earl Ray', 'Kill', 'Rev. Martin Luther King Jr.']]"
The 23-foot-tall statue was modeled after the 30-foot-tall Goddess of Democracy raised by Chinese pro-democracy demonstrators in Beijing 's Tiananmen Square on May 30.,"[['Tiananmen Square', 'Located_In', 'Beijing']]",CONLL04,"[['Tiananmen Square', 'Located_In', 'Beijing']]"
"In 1874 , Herbert Clark Hoover , the 31st president of the United States , was born in West Branch , Iowa .","[['Herbert Clark Hoover', 'Live_In', 'West Branch'], ['Herbert Clark Hoover', 'Live_In', 'Iowa']]",CONLL04,"[['Herbert Clark Hoover', 'Live_In', 'West Branch , Iowa']]"
"` ` The country was starved of resources , ' ' said Marcos Victorica , director of the Institute of Contemporary Studies.","[['Marcos Victorica', 'Work_For', 'Institute of Contemporary Studies']]",CONLL04,"[['Marcos Victorica', 'Work_For', 'Institute of Contemporary Studies.']]"
""" This is the Garrett place where John Wilkes Booth , assassin of Lincoln , was cornered by Union soldiers and killed April 26 , 1865 .","[['John Wilkes Booth', 'Kill', 'Lincoln']]",CONLL04,"[['John Wilkes Booth', 'Kill', 'Lincoln']]"
"Joseph Cicippio , 58 , was acting comptroller at the American University of Beirut when he was kidnapped from the campus Sept. 12 , 1986.","[['Joseph Cicippio', 'Work_For', 'American University of Beirut']]",CONLL04,"[['Joseph Cicippio', 'Work_For', 'American University of Beirut']]"
"The Santa Ana winds _ also called ` ` devil winds ' ' _ are spun off by high pressure over the interior of the country , picking up speed as they move from Southern California 's deserts through mountain passes and roar down on adjacent communities .","[['Santa Ana winds', 'Located_In', 'Southern California']]",CONLL04,"[['Santa Ana', 'Located_In', 'Southern California']]"
FL2706231194 Havana Radio Reloj Network in Spanish 1402 GMT 27 Jun 94,"[['Havana Radio Reloj Network', 'OrgBased_In', 'Havana']]",CONLL04,"[['Radio Reloj Network', 'OrgBased_In', 'Havana']]"
"` ` Our white paper , market pulp and packaging businesses turned in particularly impressive results in 1988 , ' ' said John A. Georges , International Paper 's chairman and chief executive officer .","[['John A. Georges', 'Work_For', 'International Paper']]",CONLL04,"[['John A. Georges', 'Work_For', 'International Paper']]"
The FA-18 Hornet was on a mission to Pinecastle Electronic Warfare Range in the Ocala National Forest when the bomb tumbled free at 1 : 50 p.m .,"[['Pinecastle Electronic Warfare Range', 'Located_In', 'Ocala National Forest']]",CONLL04,"[['Pinecastle Electronic Warfare Range', 'Located_In', 'Ocala National Forest']]"
"EAST LANSING , Mich.","[['EAST LANSING', 'Located_In', 'Mich.']]",CONLL04,"[['EAST LANSING', 'Located_In', 'Mich.']]"
"Becton Dickinson sells needle containers to doctors and hospitals but may develop a container for home use , said Linda Schmitt , an assistant product manager.","[['Linda Schmitt', 'Work_For', 'Becton Dickinson']]",CONLL04,"[['Linda Schmitt', 'Work_For', 'Becton Dickinson']]"
The police files on Kennedy 's shooting could shed new light on persistent questions about whether Sirhan Bishara Sirhan was the only gunman in the shooting .,"[['Sirhan Bishara Sirhan', 'Kill', 'President Kennedy']]",CONLL04,"[['Sirhan Bishara Sirhan', 'Kill', 'Kennedy']]"
"In 1936 , rock legend Buddy Holly was born Charles Hardin Holley in Lubbock , Texas .","[['Buddy Holly', 'Live_In', 'Lubbock']]",CONLL04,"[['Buddy Holly', 'Live_In', 'Lubbock , Texas'], ['Charles Hardin Holley', 'Live_In', 'Lubbock , Texas']]"
"Belli 's clients have included Jack Ruby , who killed John F. Kennedy assassin Lee Harvey Oswald , and Jim and Tammy Bakker .","[['Jack Ruby', 'Kill', 'Lee Harvey Oswald']]",CONLL04,"[['Jack Ruby', 'Kill', 'Lee Harvey Oswald'], ['Lee Harvey Oswald', 'Kill', 'John F. Kennedy']]"
"Bosnia 's capital , Sarajevo , is best-known as the site of the assassination in 1914 of Austrian Archduke Franz Ferdinand by young Bosnian nationalist Gavrilo Princip , which was the spark that ignited World War I. No single party appeared likely to win a clear majority in Bosnia 's 240-seat bicameral parliament .","[['Sarajevo', 'Located_In', 'Bosnia']]",CONLL04,"[['Sarajevo', 'Located_In', 'Bosnia'], ['Gavrilo Princip', 'Kill', 'Austrian Archduke Franz Ferdinand']]"
Walesa said Solidarity wants to avoid unrest .,"[['Walesa', 'Work_For', 'Solidarity']]",CONLL04,"[['Walesa', 'Work_For', 'Solidarity']]"
"In 1817 , naturalist-author Henry David Thoreau was born in Concord , Mass .","[['Henry David Thoreau', 'Live_In', 'Concord']]",CONLL04,"[['Henry David Thoreau', 'Live_In', 'Concord , Mass']]"
"The nine sentences noting the spot where Dallas was settled are followed by this : ` ` On Nov. 22 , 1963 , the building gained national notoriety when Lee Harvey Oswald allegedly shot and killed President John F. Kennedy from a sixth floor window as the presidential motorcade passed the site. ' '","[['Lee Harvey Oswald', 'Kill', 'President John F. Kennedy']]",CONLL04,"[['Lee Harvey Oswald', 'Kill', 'President John F. Kennedy']]"
"` ` One thing I have learned over the past 17 months is that the truth is hard to find , and it remains so , ' ' said Mrs. Higgins , 37 , who is a major inthe Marine Corps and works at the Pentagon as a public information officer.","[['Mrs. Higgins', 'Work_For', 'Pentagon']]",CONLL04,"[['Mrs. Higgins', 'Work_For', 'Marine Corps'], ['Mrs. Higgins', 'Work_For', 'Pentagon']]"
"Sam Kadet of the corporate law firm of Skadden , Arps said Popeyes could give Church 's notice on Thursday that it planned to proceed with the takeover attempt and deliver the information to Church 's after five business days .","[['Sam Kadet', 'Work_For', 'Skadden']]",CONLL04,"[['Sam Kadet', 'Work_For', 'Skadden , Arps']]"
"Yisrael Tal , one of the top military strategists in Israel , says the Arabs have reached a strategic balance with Israel through their acquisition of ground-to-ground missiles .","[['Yisrael Tal', 'Live_In', 'Israel'], ['Yisrael Tal', 'Live_In', 'Israel']]",CONLL04,"[['Yisrael Tal', 'Live_In', 'Israel'], ['Yisrael Tal', 'Live_In', 'Israel']]"
"Guy M. Struve , the New York attorney representing Church 's , said he was disappointed and did not know when the chain would decide whether to appeal Thursday 's ruling .","[['Guy M. Struve', 'Work_For', 'Church']]",CONLL04,"[['Guy M. Struve', 'Live_In', 'New York'], ['Guy M. Struve', 'Work_For', ""Church 's""]]"
Illinois born Charlton Heston was a 27-year-old actor from Broadway and television when he arrived in Hollywood for a five-picture contract with Hal Wallis .,"[['Charlton Heston', 'Live_In', 'Illinois']]",CONLL04,"[['Charlton Heston', 'Live_In', 'Illinois']]"
"The justices heard 60 minutes of arguments Wednesday on whether they will allow the execution of Johnny Paul Penry , 32 , a convicted rapist-murderer sentenced to die in Texas .","[['Johnny Paul Penry', 'Live_In', 'Texas']]",CONLL04,"[['Johnny Paul Penry', 'Live_In', 'Texas']]"
"1911 , playwright Tennessee Williams was born in Columbus , Miss.","[['Tennessee Williams', 'Live_In', 'Columbus']]",CONLL04,"[['Tennessee Williams', 'Live_In', 'Columbus , Miss.']]"
"Photographer , author , filmmaker and composer Gordon Parks , 76 , born in Fort Scott , Kan. , who was on the photographic staff of Life Magazine for 19 years before branching out into other activities.","[['Gordon Parks', 'Live_In', 'Fort Scott']]",CONLL04,"[['Gordon Parks', 'Live_In', 'Fort Scott , Kan.']]"
"In 1830 , poet Emily Dickinson was born in Amherst , Mass.","[['Emily Dickinson', 'Live_In', 'Amherst']]",CONLL04,"[['Emily Dickinson', 'Live_In', 'Amherst , Mass.']]"
"` ` This is not a good idea for a lot of environmental reasons , ' ' Stephanie Powell , of the DEM 's division of groundwater and freshwater wetlands , said Tuesday.","[['Stephanie Powell', 'Work_For', 'DEM']]",CONLL04,"[['Stephanie Powell', 'Work_For', 'DEM']]"
"Nihat ( Marka ) , deputy leader of SHP ( Social Democrat Populist Party ) parliamentary group , said : They should have run in the elections for the sake of democracy .","[['Nihat', 'Work_For', 'SHP'], ['Nihat', 'Work_For', 'Social Democrat Populist Party']]",CONLL04,"[['Nihat', 'Work_For', 'SHP'], ['Nihat', 'Work_For', 'Social Democrat Populist Party'], ['Marka', 'Work_For', 'SHP'], ['Marka', 'Work_For', 'Social Democrat Populist Party']]"
A statement from military headquarters said the aircraft crashed during a 260-mile flight to Khartoum from Kassala in eastern Sudan near the Ethiopian border.,"[['Kassala', 'Located_In', 'Sudan']]",CONLL04,"[['Kassala', 'Located_In', 'Sudan']]"
"Harrington , a professor of political science at Queens College of the City University of New York and honorary president of the Socialist International , died Monday night at his home in suburban Larchmont , the university said in a statement Tuesday.","[['Harrington', 'Work_For', 'Queens College']]",CONLL04,"[['Harrington', 'Work_For', 'Queens College'], ['Harrington', 'Work_For', 'City University of New York'], ['Harrington', 'Work_For', 'Socialist International'], ['Harrington', 'Live_In', 'Larchmont']]"
"Norton Winfred Simon was born on Feb. 5 , 1907 , in Portland , Ore. , and spent his teen-age years in San Francisco .","[['Norton Winfred Simon', 'Live_In', 'Portland']]",CONLL04,"[['Norton Winfred Simon', 'Live_In', 'Portland , Ore.']]"
"The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .","[['Ulf D. Merbold', 'Work_For', 'European Space Agency'], ['Roger K. Crouch', 'Work_For', 'NASA']]",CONLL04,"[['Ulf D. Merbold', 'Work_For', 'European Space Agency'], ['Roger K. Crouch', 'Work_For', 'National Aeronautics and Space Administration'], ['Roger K. Crouch', 'Work_For', 'NASA']]"
"In 1752 , flagmaker Betsy Ross was born in Philadelphia .","[['Betsy Ross', 'Live_In', 'Philadelphia']]",CONLL04,"[['Betsy Ross', 'Live_In', 'Philadelphia']]"
"No. 1 is the West Coast 's tallest building , the 76-story black-glass Columbia Seafirst Center built in 1985 , before downtown zoning went into effect .","[['Columbia Seafirst Center', 'Located_In', 'West Coast']]",CONLL04,"[['Columbia Seafirst Center', 'Located_In', 'West Coast']]"
"Yahia Bouguettaya , the former mayor of Mohammadia , south-east Algeria , and Mohamed Touali , an activist in Algeria 's Ettahadi ( Challenge ) political party , were assassinated Wednesday .","[['Ettahadi', 'OrgBased_In', 'Algeria'], ['Ettahadi', 'OrgBased_In', 'Algeria']]",CONLL04,"[['Mohammadia', 'Located_In', 'Algeria'], ['Mohamed Touali', 'Work_For', 'Ettahadi ( Challenge ) political party'], ['Ettahadi ( Challenge ) political party', 'OrgBased_In', 'Algeria'], ['Ettahadi ( Challenge ) political party', 'OrgBased_In', 'Algeria']]"
He developed evidence regarding the assassination of President Kennedy which supported the findings of the Warren Commission that Lee Harvey Oswald was the lone assassin .,"[['Oswald', 'Kill', 'President Kennedy']]",CONLL04,"[['Lee Harvey Oswald', 'Kill', 'President Kennedy']]"
"The PRAVDA newspaper carries an interview with Radovan Karadzic , leader of Bosnian Serbs and vice-president of the Union of Serb Writers .","[['Radovan Karadzic', 'Work_For', 'Union of Serb Writers']]",CONLL04,"[['Radovan Karadzic', 'Work_For', 'Union of Serb Writers']]"
"MOSKOVSKIY KOMSOMOLETS has learned from competent sources that the commission is supposed to pay special attention to Lazutkin , former first deputy general director of "" Ostankino , "" who currently holds the position of first deputy head of the Russian Federation Federal Service for Television and Radio Broadcasting.","[['Lazutkin', 'Work_For', 'Russian Federation Federal Service for Television and Radio Broadcasting']]",CONLL04,"[['Lazutkin', 'Work_For', 'Russian Federation Federal Service for Television and Radio Broadcasting.']]"
"But trustee Daniel L. Bakst , a West Palm Beach , Fla. , lawyer , said he will not let the 11th-hour settlement efforts interfere with his assignment to track down Warner 's assets for distribution to creditors.","[['Daniel L. Bakst', 'Live_In', 'West Palm Beach']]",CONLL04,"[['Daniel L. Bakst', 'Live_In', 'West Palm Beach'], ['Daniel L. Bakst', 'Live_In', 'Fla.'], ['West Palm Beach', 'Located_In', 'Fla.']]"
Serbia is the largest of Yugoslavia 's six republics.,"[['Serbia', 'Located_In', 'Yugoslavia']]",CONLL04,"[['Serbia', 'Located_In', 'Yugoslavia']]"
Sirhan was convicted of Kennedy 's killing and is serving a life sentence .,"[['Sirhan', 'Kill', 'Kennedy']]",CONLL04,"[['Sirhan', 'Kill', 'Kennedy']]"
"A mechanized infantry battalion belonging to the 21st Brigade of Cerro Muriano in Cordoba and to the 12th Brigade in Botoa in Badajoz , a company of the Special Operations Group in Alicante , and a squadron from the Jarama 1st Cavalry Brigade from Salamanca make up the Cordoba Group .","[['21st Brigade', 'OrgBased_In', 'Cordoba'], ['21st Brigade', 'OrgBased_In', 'Cordoba'], ['12th Brigade', 'OrgBased_In', 'Botoa'], ['12th Brigade', 'OrgBased_In', 'Badajoz'], ['Special Operations Group', 'OrgBased_In', 'Alicante'], ['Jarama 1st Cavalry Brigade', 'OrgBased_In', 'Salamanca']]",CONLL04,"[['21st Brigade of Cerro Muriano', 'OrgBased_In', 'Cordoba'], ['12th Brigade', 'OrgBased_In', 'Botoa'], ['12th Brigade', 'OrgBased_In', 'Badajoz'], ['Special Operations Group', 'OrgBased_In', 'Alicante'], ['Jarama 1st Cavalry Brigade', 'OrgBased_In', 'Salamanca']]"
"Those honored were Jean Griffith , mother of a man killed on a Howard Beach , Queens , parkway after being chased by a gang of whites in December 1986 ;","[['Howard Beach', 'Located_In', 'Queens']]",CONLL04,"[['Howard Beach', 'Located_In', 'Queens']]"
"FBI agents arrived at Sohn 's New Jersey home and escorted him to safety only 30 minutes before KCIA agents showed up , an unidentified senior law enforcement official told the Times .","[['Sohn', 'Live_In', 'New Jersey']]",CONLL04,"[['Sohn', 'Live_In', 'New Jersey']]"
"Prime Brian Mulroney 's Progressive Conservative Party won its second consecutive majority government in the election , and he signed the trade pact with President Reagan in January 1988 .","[['Brian Mulroney', 'Work_For', 'Progressive Conservative Party']]",CONLL04,"[['Brian Mulroney', 'Work_For', 'Progressive Conservative Party']]"
"In Washington , the General Accounting Office ( GAO ) , the congressional watchdog of government spending , says in a report released last August that Israel might be underestimating the costs of producing and deploying the Arrow system .","[['General Accounting Office', 'OrgBased_In', 'Washington'], ['GAO', 'OrgBased_In', 'Washington']]",CONLL04,"[['General Accounting Office', 'OrgBased_In', 'Washington'], ['GAO', 'OrgBased_In', 'Washington']]"
"Britain 's Duchess of York and former Philippines first lady Imelda Marcos topped the list by Blackwell , a designer and self-appointed fashion arbiter whose real name is Richard Sylvan Selzer .","[['Imelda Marcos', 'Live_In', 'Philippines']]",CONLL04,"[['Duchess of York', 'Live_In', 'Britain'], ['Imelda Marcos', 'Live_In', 'Philippines']]"
"Until President 's Day of this year , the public could not enter the sixth floor of the old school book depository in downtown Dallas , where it 's believed Lee Harvey Oswald fired the shots that killed Kennedy .","[['Lee Harvey Oswald', 'Kill', 'President Kennedy']]",CONLL04,"[['Lee Harvey Oswald', 'Kill', 'Kennedy']]"
"Winter , 53 , a former Yale University law professor who took the bench in 1982 , and Starr , a fellow appointee of President Reagan , are both known as judicial conservatives .","[['Winter', 'Work_For', 'Yale University']]",CONLL04,"[['Winter', 'Work_For', 'Yale University']]"
