text,gold_labels,generated
"During the 10-hour rescue , diver Brian Michaud of Millinocket hooked the men to harnesses , and rescuers dragged them to the surface with winches .","[['Brian Michaud', 'Live_In', 'Millinocket']]","[['Bishop Michaud', 'Live_In', 'Millinocket']]"
The Warren Commission found Oswald acted alone in killing Kennedy .,"[['Oswald', 'Kill', 'Kennedy']]","[['Oswald', 'Acted_Alone', 'Kill'], ['Oswald', 'Live_In', 'Williams County'], ['Oswald', 'Live_In', 'Williams County']]"
( By Yang Jianbai ( 2799 1017 4101 ) of the Economic Research,"[['Yang Jianbai', 'Work_For', 'Economic Research']]","[['Yang Jianbai', 'Live_In', 'OrgBased_In', 'Yang Jianbai']]"
"` ` He was going pretty fast , wasn 't he ? ' ' said Daniel Urquhart , 8 , of Aumsville , whose slug crept to the championship.","[['Daniel Urquhart', 'Live_In', 'Aumsville']]","[['Daniel Urquhart', 'Live_In', 'Aumsville']]"
"Kovacevic , a Serb , has come under fire from Serbian politicians and the republic 's press since the U.S. Congress last month passed two resolutions claiming there were human rights violations in the strife-torn southern province of Kosovo.","[['Congress', 'OrgBased_In', 'U.S.']]","[['Kovavacevic', 'Live_In', 'Serbia']]"
"Martin Luther King III , a son of the slain civil rights leader , said the execution of King assassin James Earl Ray ` ` would not bring my father back. ' '","[['James Earl Ray', 'Kill', 'Martin Luther King III']]","[['Martin Luther King III', 'Son', 'Martin Luther King III']]"
"On this date : In 1833 , Benjamin Harrison , the 23rd President of the United States , was born in North Bend , Ohio .","[['Benjamin Harrison', 'Live_In', 'North Bend , Ohio']]","[['Benjamin Harrison', 'Live_In', 'North Bend, Ohio']]"
The book said Khrushchev 's order to ignore the blockade was disclosed in a largely unknown work by dissident Soviet historian Roy Medvedev .,"[['Khrushchev', 'Live_In', 'Soviet'], ['Roy Medvedev', 'Live_In', 'Soviet']]","[['Ryan Medvedev', 'Work_For', 'Dissident Soviet Historian Roy Medvedev']]"
"EDITOR 'S NOTE : Walter R. Mears , vice and columnist for The Associated Press , has reported on Washington and national politics for more than 25 years .","[['Walter R. Mears', 'Work_For', 'The Associated Press']]","[['Walter R. Mears', 'Work_For', 'The Associated Press']]"
"` ` The Germans just tunneled like rabbits , ' ' said Gerald Przenislawski , who operates La Valette Underground Military Museum.","[['Gerald Przenislawski', 'Work_For', 'La Valette Underground Military Museum.']]","[['Meredith Przenislawski', 'Work_For', 'La Valette Underground Military Museum']]"
"` ` With South Carolina being Jesse Jackson 's home state , there was a very strong incentive in the black community. ' '","[['Jesse Jackson', 'Live_In', 'South Carolina']]","[['Jesse Jackson', 'Home_State', 'South Carolina']]"
"Photo , Dueling Over a GunIt is a scene seared into the memories of Americans old enough to have watched it that November day in 1963 : Jack Ruby firing his .38-caliber Colt Cobra , above , at Lee Harvey Oswald , the man who had assassinated President John F. Kennedy two days earlier.","[['Jack Ruby', 'Kill', 'Lee Harvey Oswald']]","[['Jack Ruby', 'Live_In', 'United States']]"
"In a statement at the airport before his departure , Cetin said that Turkey welcomed this step taken by Bosnians and Croats and hoped that real peace comes to Bosnia-Herzegovina when Serbs join this process too .","[['Cetin', 'Live_In', 'Turkey']]","[['Cetin', 'Work_For', 'Turkish People']]"
"On Friday , U.S. Ambassador Vernon A. Walters displayed photographs of one Libyan jet showing shapes resembling missile pods on its wings and fuselage .","[['Vernon A. Walters', 'Live_In', 'U.S.']]","[['Von A. Walters', 'Work_For', 'United States']]"
"Ms. Carpenter 's brother , retired National Football League placekicker Mark Moseley , was in the courtroom Wednesday and told reporters afterward , ` ` It 's been nine years of hell for myself and my family. ' '","[['Mark Moseley', 'Work_For', 'National Football League']]","[['Mark Moseley', 'Live_In', 'National Football League']]"
"Hernandez Galicia 's allegedly corrupt Mexican Oil Workers Union controls more than half the lucrative drilling contracts issued by the state oil monopoly , Pemex .","[['Hernandez Galicia', 'Work_For', 'Mexican Oil Workers Union']]","[['Mexican Oil Workers Union', 'Work_For', 'Pemex']]"
"You 'll pass through Rolling Fork , where Muddy Waters was born , close to Greenville , home of Nelson Street 's funky strip of blues clubs , and into Clarksdale , at the intersection of Highway 61 and another major road in blues lore , U.S. Highway 49. ;","[['Muddy Waters', 'Live_In', 'Rolling Fork']]","[['Muddy Waters', 'Live In', 'Rolling Fork']]"
"` ` The Challenger accident marked a major change in the U.S. outlook and policies with respect to the flight of other than NASA astronauts , ' ' the National Aeronautics and Space Administration said in a policy statement .","[['NASA', 'OrgBased_In', 'U.S.'], ['National Aeronautics and Space Administration', 'OrgBased_In', 'U.S.']]","[['Challenger', 'Work_For', 'National Aeronautics and Space Administration']]"
"` ` It 's not going to make you a whole bunch of money , but that 's not why we 're doing it , ' ' said Phil Fuhrer , vice of Gannett New Media. 1-900-WEATHER offers callers the current weather and a three-day forecast , plus skiing and highway conditions in the winter and coastal reports during the summer.","[['Phil Fuhrer', 'Work_For', 'Gannett New Media.']]","[['Phil Fuhrer', 'Work_For', 'Gannett New Media']]"
PA2904034294 Guatemala City Teleonce Television in Spanish 0400 GMT 26 Apr 94,"[['Teleonce Television', 'OrgBased_In', 'Guatemala City']]","[['PA2904034294', 'Located_In', 'Guatemala City']]"
"DAYTON , Ohio ( AP )","[['DAYTON', 'Located_In', 'Ohio'], ['AP', 'OrgBased_In', 'DAYTON'], ['AP', 'OrgBased_In', 'Ohio']]","[['AP', 'Located_In', 'Dayton, Ohio']]"
"In 1865 , four people were hanged in Washington , D.C. , after being convicted of conspiring with John Wilkes Booth in the assassination of President Lincoln .","[['John Wilkes Booth', 'Kill', 'President Lincoln']]","[['Washington', 'D.C.']]"
"San Gabriel River Channel , Azusa , Calif. ;","[['San Gabriel River Channel', 'Located_In', 'Azusa'], ['San Gabriel River Channel', 'Located_In', 'Calif.'], ['Azusa', 'Located_In', 'Calif.']]","[['San Gabriel River Channel', 'Located_In', 'Azusa'], ['San Gabriel River Channel', 'Located_In', 'California']]"
He said that the Phnom Penh government has worked out several incentives to attract foreign investment in Cambodia .,"[['Phnom Penh government', 'OrgBased_In', 'Cambodia']]","[['He', 'Work_For', 'Phnom Penh']]"
"Derwinski , a Republican from Chicago who served 24 years in Congress , publicly denied 1978 allegations that he leaked the information and refused to testify in the matter before a federal grand jury and the House Ethics Committee .","[['Derwinski', 'Live_In', 'Chicago'], ['Derwinski', 'Work_For', 'Congress']]","[['Derwinski', 'Live_In', 'Chicago']]"
"BANGKOK , Thailand ( AP )","[['BANGKOK', 'Located_In', 'Thailand'], ['AP', 'OrgBased_In', 'BANGKOK'], ['AP', 'OrgBased_In', 'Thailand']]","[['Bangkok', 'Located_In', 'Thailand']]"
"( Text ) Police Major Pramot Pansakun , the commander of the Region 2 Border Patrol Police ( BPP ) , Khon Kaen , and Thai and American narcotics suppression officials accompanied by reporters , spent more than 2 hours climbing a high mountain to destroy a Hmong poppy field located along the border between Dan Sai District in Loei Province , Nakhon Thai District in Phitsanulok Province , and Lomsak District in Phetchabun Province .","[['Pramot Pansakun', 'Work_For', 'Region 2 Border Patrol Police'], ['Dan Sai District', 'Located_In', 'Loei Province'], ['Nakhon Thai District', 'Located_In', 'Phitsanulok Province'], ['Lomsak District', 'Located_In', 'Phetchabun Province']]","[['Pramot Pansakun', 'Work_For', 'Region 2 Border Patrol Police ( BPP ) ', 'Khon Kaen', 'Loei Province', 'Nakhon Thai District', 'Phetchabun Province']]"
"Further buying was linked to rumors that the Chilean copper company Codelco was considering shutting down its smelter at Chuquicamata , the world 's largest copper mine , due to persistent mechanical problems , said Fred Demler , metals economist with Drexel Burnham Lambert Inc. in New York .","[['Fred Demler', 'Work_For', 'Drexel Burnham Lambert Inc.'], ['Fred Demler', 'Live_In', 'New York'], ['Drexel Burnham Lambert Inc.', 'OrgBased_In', 'New York']]","[['Fred Demler', 'Work_For', 'Drexel Burnham Lambert Inc.']]"
An urgent call for international help to avert food shortages in Poland went out both from last month 's Western economic summit in Paris and from Monday 's meeting in Brussels of 24 concerned nations chaired by the European Community Commission.,"[['European Community Commission.', 'OrgBased_In', 'Brussels']]","[['European Community Commission', 'Located_In', 'Paris']]"
"Cheek , 53 , is a former chief and charge in Addis Ababa , Ethiopia.","[['Addis Ababa', 'Located_In', 'Ethiopia.']]","[['Cheek', 'Located_In', 'Addis Ababa']]"
"In 1881 , President James A. Garfield was shot by Charles J. Guiteau , a disappointed office-seeker , at the Washington railroad station .","[['Charles J. Guiteau', 'Kill', 'President James A. Garfield']]","[['Charles J. Guiteau', 'Live_In', 'Washington']]"
"Middle-class Argentines , among the most affluent in Latin America at one time , are so strapped now that they are selling off heirlooms that had been in their families since the days when beef and grain made Argentina one of the world 's wealthiest nations.","[['Argentina', 'Located_In', 'Latin America']]","[['Argentines', 'Live_In', 'Latin America']]"
"` ` I don 't think there are any good answers why , ' ' said Virginia Towle of Wallingford , a family friend.","[['Virginia Towle', 'Live_In', 'Wallingford']]","[['Virginia Towle', 'Live_In', 'Walingford']]"
"The meeting will be held at the request of the Soviet Union , which also plans direct talks with resistance leader Prince Norodom Sihanouk , said Sihanouk 's son and representative in Thailand , Prince Norodom Ranariddh .","[['Prince Norodom Ranariddh', 'Live_In', 'Thailand']]","[['Prince Norodom Ranariddh', 'Work_For', 'Soviet Union']]"
"Hundreds of children and adults sporting cowboy boots and hats turned out Wednesday to watch as Winterset 's busiest street was named for John Wayne , the community 's most famous native son .","[['John Wayne', 'Live_In', 'Winterset']]","[['John Wayne', 'Live_In', 'Winterset']]"
"River North 's nouvelle sensibilities also might be offended by the Ranch 's menu , which features items such as the ` ` Jesse James Steak ( A Steal ! ) , ' ' and the occasional ornery patron .","[['Ranch', 'OrgBased_In', 'River North']]","[['Jesse James Steak', 'A Steak!', 'Offended']]"
Police Find No Signs of Radiation Leak AU0202111694 Paris AFP in English 0107 GMT 2 Feb 94,"[['AFP', 'OrgBased_In', 'Paris']]","[['Paris AFP', 'Located_In', 'Paris']]"
It was filmed on location in Tokyo and Kyoto and is a co-production of Children 's Television Worship and NHK network in Japan .,"[['Tokyo', 'Located_In', 'Japan'], ['Kyoto', 'Located_In', 'Japan']]","[['Tokyo', 'Yoyogi', 'OrgBasedIn', 'Japan']]"
"The self-propelled rig Avco 5 with 14 people aboard was headed to shore early Monday when it capsized about 20 miles off the Louisiana coast , near Morgan City , Chevron spokesman Jonathan Lifa said.","[['Jonathan Lifa', 'Work_For', 'Chevron']]","[['Jonathan Lifa', 'Work_For', 'Chevron']]"
"Sen. Jake Garn , R-Utah , flew on the shuttle in April 1985 and Rep. Bill Nelson , D-Fla. , was aboard in January 1986 , at the invitation of NASA 's administrator .","[['Jake Garn', 'Work_For', 'NASA'], ['Bill Nelson', 'Work_For', 'NASA']]","[['Jake Garn', 'Work_For', 'NASA']]"
Ten Soviet volunteers and their American counterparts plan to spend August in Washington building homes for the poor as a return favor for help in earthquake-devastated Soviet Armenia.,"[['Armenia.', 'Located_In', 'Soviet']]","[['Soviet volunteers', 'Live_In', 'Washington']]"
"Evaluating Juppe 's visit , Cetin said that the French Government was not displaying a disturbing stand toward Turkey and was very careful in not intervening in Turkey 's internal affairs .","[['Juppe', 'Work_For', 'French Government'], ['Cetin', 'Live_In', 'Turkey'], ['Cetin', 'Live_In', 'Turkey']]","[['Jumppe', 'Work_For', 'French Government']]"
"Jose Vicente Maldonado , the Ecuadoran minister of industry , commerce , and integration , said that the foreign of the Andean Group ( Colombia , Bolivia , Ecuador , Peru , and Venezuela ) , will study a new date for the summit .","[['Andean Group', 'OrgBased_In', 'Colombia'], ['Andean Group', 'OrgBased_In', 'Bolivia'], ['Andean Group', 'OrgBased_In', 'Ecuador'], ['Andean Group', 'OrgBased_In', 'Peru'], ['Andean Group', 'OrgBased_In', 'Venezuela']]","[['Juan Vicente Maldonado', 'Work_For', 'Andean Group']]"
"Dole 's wife , Elizabeth , is a native of Salisbury , N.C .","[['Elizabeth', 'Live_In', 'Salisbury , N.C']]","[['Elizabeth', 'Live_In', 'Salisbury']]"
"( Text ) Sofia , February 15 ( BTA ) -- Today the two main political forces in Bulgaria , the Bulgarian Socialist ( formerly Communist ) Party ( BSP ) and the Union of Democratic Forces ( SDS ) announced their stand on the possible airstrikes in Bosnia five days before the expiry of NATO 's ultimatum .","[['BTA', 'OrgBased_In', 'Sofia'], ['Bulgarian Socialist ( formerly Communist ) Party', 'OrgBased_In', 'Bulgaria'], ['BSP', 'OrgBased_In', 'Bulgaria'], ['Union of Democratic Forces', 'OrgBased_In', 'Bulgaria'], ['SDS', 'OrgBased_In', 'Bulgaria']]","[['BTA', 'Live_In', 'Bulgaria']]"
"Starr , who served as counselor to Attorney William French Smith from 1981 prior to taking the bench in 1983 , had been mentioned as a possible Supreme Court nominee after his former colleague on the District of Columbia circuit , Robert Bork , failed to win Senate confirmation in 1987 .","[['Supreme Court', 'OrgBased_In', 'District of Columbia'], ['Senate', 'OrgBased_In', 'District of Columbia']]","[['Starr', 'Work_For', 'Atty. William French Smith']]"
"The program , financed with a grant from the United States Agency for International Development , is aimed at reducing infant mortality in Madagascar , an island nation in the Indian Ocean off the eastern coast of Africa.","[['Madagascar', 'Located_In', 'Indian Ocean']]","[['Madagascar', 'Located_In', 'Indian Ocean'], ['Madagascar', 'Located_In', 'Africa']]"
JN0704183294 Paris Radio Monte Carlo in Arabic 1700 GMT 7 Apr 94,"[['Radio Monte Carlo', 'OrgBased_In', 'Paris']]","[['JN0704183294', 'Live_In', 'Pasadena']]"
"On this date : In 1533 , the last Incan King of Peru , Atahualpa , was murdered on the orders of Spanish conqueror Francisco Pizarro .","[['Francisco Pizarro', 'Kill', 'Atahualpa']]","[['Atahualpa', 'Live_In', 'Peru']]"
"` ` We 'd play hearts for hours at a time , ' ' said Atlanta businessman Neil Estes.","[['Neil Estes.', 'Live_In', 'Atlanta']]","[['Neil Estes', 'Work_For', 'Atlanta']]"
"Minox has not shown a profit since 1981 , and on April 1 , 1988 , Robert C. Corduwener , a Netherlands businessman bought a 51 percent share of the company to take control from the Rinn family .","[['Robert C. Corduwener', 'Live_In', 'Netherlands']]","[['Robert C. Corduwener', 'Live_In', 'Netherlands']]"
"Volcanoes in Nicaragua and Indonesia , deforestation in Brazil and Madagascar , the Sahara desert in Africa and global beach erosion are among the subjects to be photographed .","[['Sahara desert', 'Located_In', 'Africa']]","[['Nicaragua', 'Located_In', 'Indonesia']]"
"` ` This is really hurting Heuchelheim , ' ' the town 's mayor Willi Marx told The Associated Press in an interview at his office earlier this month .","[['Willi Marx', 'Live_In', 'Heuchelheim']]","[['Wildi Marx', 'Work_For', 'The Associated Press']]"
"` ` I think at this moment they fear making a wrong move _ whether they should seek political asylum or use other reasons to remain here , ' ' said Jeff Shia , president of the Kiangsu Chekiang Association , a non-profit group that helps new Chinese immigrants establish themselves in the city.","[['Jeff Shia', 'Work_For', 'Kiangsu Chekiang Association']]","[['Jeff Shia', 'Live_In', 'OrgBased_In']]"
"The term ` ` 30 Seconds Over Tokyo ' ' was the title of a popular movie about the raid. _Anzio _ The Anzio beachhead , 33 miles south of Rome , saw some of the bloodiest fighting of World War II and accounted for many of the 10 , 000 U.S. battle deaths in Italy the first half of 1944 .","[['Anzio', 'Located_In', 'Italy']]","[['Anzio', 'Live_In', 'Italy']]"
"Anna Sandhu Ray , who 10 years ago Thursday wed the man convicted of killing the Rev. Martin Luther King Jr. , said on her anniversary that she plans to divorce James Earl Ray .","[['James Earl Ray', 'Kill', 'Rev. Martin Luther King Jr.']]","[['Anne Sandhu Ray', 'Kill', 'Rever. Martin Luther King Jr.']]"
The 23-foot-tall statue was modeled after the 30-foot-tall Goddess of Democracy raised by Chinese pro-democracy demonstrators in Beijing 's Tiananmen Square on May 30.,"[['Tiananmen Square', 'Located_In', 'Beijing']]","[['Georgie of Democracy', 'Located_In', 'Beijing']]"
"( Text ) Ulaanbaatar , 29 Apr ( XINHUA ) -- China 's Premier Li Peng and Mongolian Prime P. Jasray signed the "" Treaty of Friendly Cooperation Relations Between the People 's Republic of China and Mongolia "" at the State Palace in the afternoon of 29 April .","[['XINHUA', 'OrgBased_In', 'China'], ['XINHUA', 'OrgBased_In', ""People 's Republic of China""], ['Li Peng', 'Live_In', 'China'], ['Li Peng', 'Live_In', ""People 's Republic of China""]]","[['Li Peng', 'Work_For', 'China']]"
"In 1874 , Herbert Clark Hoover , the 31st president of the United States , was born in West Branch , Iowa .","[['Herbert Clark Hoover', 'Live_In', 'West Branch , Iowa']]","[['Herbert Clark Hoover', 'Live_In', 'West Branch, Iowa']]"
"( Text ) The Rwandan Patriotic Front ( RPF ) has rescued 2 , 000 people in Bugesera in the southeastern part of Rwanda .","[['Bugesera', 'Located_In', 'Rwanda']]","[['RPF', 'Located_In', 'Bugesera'], ['RPF', 'Origin', 'Rwanda'], ['RPF', 'Organized_In', 'Ruskonia'], ['RPF', 'Origin', 'Rwanda']]"
"One of Warner 's lawyers , Andrew Hall of Miami , Fla. , confirmed Tuesday that Warner is trying to settle the case.","[['Andrew Hall', 'Live_In', 'Miami'], ['Andrew Hall', 'Live_In', 'Fla.'], ['Miami', 'Located_In', 'Fla.']]","[['Andrew Hall', 'Work_For', 'Miami, Fla.']]"
"GRAND RAPIDS , Mich .","[['GRAND RAPIDS', 'Located_In', 'Mich .']]","[['Grand RAPIDS', 'Live_In', 'Mich']]"
"New Jersey Gov. Thomas Kean , who is leaving office after two terms at the end of this year , was greeted with effuse public praise by his colleagues during the conference.","[['Thomas Kean', 'Live_In', 'New Jersey']]","[['Thomas Kean', 'Live_In', New Jersey']]"
"` ` The country was starved of resources , ' ' said Marcos Victorica , director of the Institute of Contemporary Studies.","[['Marcos Victorica', 'Work_For', 'Institute of Contemporary Studies.']]","[['Marcos Victorica', 'Work_For', 'Institute of Contemporary Studies']]"
Excess Lira Reportedly Causes Currency Crisis NC1901223094 London Kanal-6 Television in Turkish 1700 GMT 19 Jan 94,"[['Kanal-6 Television', 'OrgBased_In', 'London']]","[['London Kanal-6 Television', 'Located_In', 'London Kanal-6 Television']] Excess Lira Reportedly Causes Currency Crisis is a newspaper article from the month of January, 2019. It is published in Turkish."
""" This is the Garrett place where John Wilkes Booth , assassin of Lincoln , was cornered by Union soldiers and killed April 26 , 1865 .","[['John Wilkes Booth', 'Kill', 'Lincoln']]","[['John Wilkes Booth', 'Kill', 'Kill'], ['John Wilkes Booth', 'Kill', 'April 26, 1865']]"
"BANGKOK , Thailand ( AP )","[['BANGKOK', 'Located_In', 'Thailand']]","[['BANGKOK', 'Work_For', 'AP']]"
"Joseph Cicippio , 58 , was acting comptroller at the American University of Beirut when he was kidnapped from the campus Sept. 12 , 1986.","[['Joseph Cicippio', 'Work_For', 'American University of Beirut']]","[['Joe Cicippio', 'Live_In', 'American University of Beirut']]"
"The Santa Ana winds _ also called ` ` devil winds ' ' _ are spun off by high pressure over the interior of the country , picking up speed as they move from Southern California 's deserts through mountain passes and roar down on adjacent communities .","[['Santa Ana', 'Located_In', 'Southern California']]","[['Santa Ana winds', 'Live_In', 'Santa Ana California'], ['Santa Ana winds', 'Work_For', 'Santa Ana California']]"
FL2706231194 Havana Radio Reloj Network in Spanish 1402 GMT 27 Jun 94,"[['Radio Reloj Network', 'OrgBased_In', 'Havana']]","[['Havana Radio Reloj Network', 'Located_In', 'Spain']]"
"` ` Our white paper , market pulp and packaging businesses turned in particularly impressive results in 1988 , ' ' said John A. Georges , International Paper 's chairman and chief executive officer .","[['John A. Georges', 'Work_For', 'International Paper']]","[['John A. Georges', 'Work_For', 'International Paper']]"
The FA-18 Hornet was on a mission to Pinecastle Electronic Warfare Range in the Ocala National Forest when the bomb tumbled free at 1 : 50 p.m .,"[['Pinecastle Electronic Warfare Range', 'Located_In', 'Ocala National Forest']]","[['F-18 Hornet', 'Located_In', 'Ocala National Forest']]"
"EAST LANSING , Mich.","[['EAST LANSING', 'Located_In', 'Mich.']]","[['EAST LANSING, MI', 'Located_In', 'Mid-West Michigan']]"
"Born in Athens , Psacharopoulos came to the United States at age 17 to enter Oberlin College , where he studied art history .","[['Oberlin College', 'OrgBased_In', 'United States']]","[['Psacharopoulos', 'Live_In', 'Athens']]"
"Two days later , Perry operated on Kennedy 's assassin , Lee Harvey Oswald , who had just been shot by Jack Ruby .","[['Lee Harvey Oswald', 'Kill', 'Kennedy'], ['Jack Ruby', 'Kill', 'Lee Harvey Oswald']]","['Jack Ruby', 'Live_In', 'Kingston']]"
"The prime was accompanied by his wife , Datuk Sri Datin Paduka Dr. Siti Hasmah and the deputy secretary of the Foreign Ministry , Datuk Abdul Halim Ali , during his brief visit to South Africa .","[['Datuk Abdul Halim Ali', 'Work_For', 'Foreign Ministry']]","[['Datuk Sri Datin Paduka Dr. Siti Hasmah', 'Live_In', 'South Africa']]"
"The federal appeals court previously overturned a key provision of Arizona 's death penalty statute in the case of John Harvey Adamson , convicted of murdering reporter Don Bolles .","[['John Harvey Adamson', 'Kill', 'Don Bolles']]","[['John Harvey Adamson', 'Kill', 'Don Bolles']]"
"The movie 's script remains a secret , but Stone has said Kevin Costner will star as New Orleans prosecutor Jim Garrison , who said that Kennedy was the victim of an FBI and CIA conspiracy and that Lee Harvey Oswald , identified by a presidential commission as the lone assassin , was set up to take the blame. ;","[['Lee Harvey Oswald', 'Kill', 'Kennedy']]","[['Kevin Costner', 'Work_For', 'FBI']]"
"Becton Dickinson sells needle containers to doctors and hospitals but may develop a container for home use , said Linda Schmitt , an assistant product manager.","[['Linda Schmitt', 'Work_For', 'Becton Dickinson']]","[['Linda Schmitt', 'Work_For', 'Becton Dickinson']]"
The police files on Kennedy 's shooting could shed new light on persistent questions about whether Sirhan Bishara Sirhan was the only gunman in the shooting .,"[['Sirhan Bishara Sirhan', 'Kill', 'Kennedy']]","[['Sirhan Bishara Sirhan', 'Live_In', 'Kennedy']]"
NC1404123794 Cairo AL-AHALI in Arabic 6 Apr 94 p 6,"[['AL-AHALI', 'OrgBased_In', 'Cairo']]","[['Cairo AL-AHALI', 'Live_In', 'Cairo']]"
"In 1936 , rock legend Buddy Holly was born Charles Hardin Holley in Lubbock , Texas .","[['Buddy Holly', 'Live_In', 'Lubbock , Texas'], ['Charles Hardin Holley', 'Live_In', 'Lubbock , Texas']]","[['Charles Hardin Holley', 'Live_In', 'Lubbock'],"
"Belli 's clients have included Jack Ruby , who killed John F. Kennedy assassin Lee Harvey Oswald , and Jim and Tammy Bakker .","[['Jack Ruby', 'Kill', 'Lee Harvey Oswald'], ['Lee Harvey Oswald', 'Kill', 'John F. Kennedy']]","[['Jimmy Bakker', 'Kill', 'John F. Kennedy'], ['Jimmy Bakker', 'Kill', 'Lee Harvey Oswald', 'John F. Kennedy', 'Live_In']]"
"Bosnia 's capital , Sarajevo , is best-known as the site of the assassination in 1914 of Austrian Archduke Franz Ferdinand by young Bosnian nationalist Gavrilo Princip , which was the spark that ignited World War I. No single party appeared likely to win a clear majority in Bosnia 's 240-seat bicameral parliament .","[['Sarajevo', 'Located_In', 'Bosnia'], ['Gavrilo Princip', 'Kill', 'Austrian Archduke Franz Ferdinand']]","[['Gavrilo Princip', 'Live_In', 'Bosnia']]"
Walesa said Solidarity wants to avoid unrest .,"[['Walesa', 'Work_For', 'Solidarity']]","[['Standards', 'Work_For', 'Solvium']]"
"In 1817 , naturalist-author Henry David Thoreau was born in Concord , Mass .","[['Henry David Thoreau', 'Live_In', 'Concord , Mass']]","[['Henry David Thoreau', 'Live_In', 'Concord, Mass']]"
"The nine sentences noting the spot where Dallas was settled are followed by this : ` ` On Nov. 22 , 1963 , the building gained national notoriety when Lee Harvey Oswald allegedly shot and killed President John F. Kennedy from a sixth floor window as the presidential motorcade passed the site. ' '","[['Lee Harvey Oswald', 'Kill', 'President John F. Kennedy']]","[['Lou Harvey Oswald', 'Live_In', 'Dallas']]"
"It almost makes me want to laugh. ( Minoli ) Why ? ( Fini ) Bossi is a very strange character and his extreme envy has been demonstrated. ( passage omitted ) He tried to get votes from the south , those votes which he now despises so much , but the south sent him back to the valleys. ( Minoli ) You said that Bossi reminded you of Hitler trapped in his Berlin bunker , a man with delusions of grandeur and a tendency towards suicide .","[['Hitler', 'Live_In', 'Berlin']]","[['Minoli', 'Bossi', 'Hedder', 'Located_In']]"
"` ` One thing I have learned over the past 17 months is that the truth is hard to find , and it remains so , ' ' said Mrs. Higgins , 37 , who is a major inthe Marine Corps and works at the Pentagon as a public information officer.","[['Mrs. Higgins', 'Work_For', 'Marine Corps'], ['Mrs. Higgins', 'Work_For', 'Pentagon']]","[['Mrs. Higgins', 'Work_For', 'Marine Corps']"
"Sam Kadet of the corporate law firm of Skadden , Arps said Popeyes could give Church 's notice on Thursday that it planned to proceed with the takeover attempt and deliver the information to Church 's after five business days .","[['Sam Kadet', 'Work_For', 'Skadden , Arps']]","[['Sam Kadet', 'Work_For', 'Skadden, Arps']]"
