input,response
"TEXT: Volcanoes in Nicaragua and Indonesia , deforestation in Brazil and Madagascar , the Sahara desert in Africa and global beach erosion are among the subjects to be photographed .","[[""Volcanoes in Nicaragua and Indonesia"", ""Subject"", ""deforestation in Brazil and Madagascar"", ""the Sahara desert in Africa""]]"
"TEXT: ` ` This is really hurting Heuchelheim , ' ' the town 's mayor Willi Marx told The Associated Press in an interview at his office earlier this month .","[[""Willy Marx"", ""Works_For"", ""Associated Press""]]"
"TEXT: ` ` I think at this moment they fear making a wrong move _ whether they should seek political asylum or use other reasons to remain here , ' ' said Jeff Shia , president of the Kiangsu Chekiang Association , a non-profit group that helps new Chinese immigrants establish themselves in the city.","[[""Jeff Shia"", ""Works_for"", ""Kiangsu Chekiang Association""]]"
"TEXT: The term ` ` 30 Seconds Over Tokyo ' ' was the title of a popular movie about the raid. _Anzio _ The Anzio beachhead , 33 miles south of Rome , saw some of the bloodiest fighting of World War II and accounted for many of the 10 , 000 U.S. battle deaths in Italy the first half of 1944 .","[[""30 Seconds Over Tokyo"", ""Movie"", ""30 Seconds Over Tokyo""]]"
"TEXT: Anna Sandhu Ray , who 10 years ago Thursday wed the man convicted of killing the Rev. Martin Luther King Jr. , said on her anniversary that she plans to divorce James Earl Ray .","[[""Anna Sandhu Ray"", ""Spouse"", ""James Earl Ray""]]"
TEXT: The 23-foot-tall statue was modeled after the 30-foot-tall Goddess of Democracy raised by Chinese pro-democracy demonstrators in Beijing 's Tiananmen Square on May 30.,"[[""Goddess of Democracy"", ""Size"", ""30 ft.""], [""Goddess of Democracy"", ""Statue"", ""23 ft.""], [""Goddess of Democracy"", ""Statue"", ""Beijing""]]"
"TEXT: ( Text ) Ulaanbaatar , 29 Apr ( XINHUA ) -- China 's Premier Li Peng and Mongolian Prime P. Jasray signed the "" Treaty of Friendly Cooperation Relations Between the People 's Republic of China and Mongolia "" at the State Palace in the afternoon of 29 April .","[[""Li Peng"", ""Office"", ""Premier of the People's Republic of China""], [""P. Jasray"", ""Office"", ""Prime Minister of Mongolia""]]"
"TEXT: In 1874 , Herbert Clark Hoover , the 31st president of the United States , was born in West Branch , Iowa .","[[""Herbert Clark Hoover"", ""Birth_Place"", ""West Branch, Iowa""]]"
"TEXT: ( Text ) The Rwandan Patriotic Front ( RPF ) has rescued 2 , 000 people in Bugesera in the southeastern part of Rwanda .","[[""Bugesera"", ""Part"", ""Southeastern part of Rwanda""]]"
"TEXT: One of Warner 's lawyers , Andrew Hall of Miami , Fla. , confirmed Tuesday that Warner is trying to settle the case.","[[""Andrew Hall"", ""WorkedFor"", ""Warner Bros.""]]"
"TEXT: GRAND RAPIDS , Mich .","[[""Grand Rapids, Michigan""], ""City"", ""Grand Rapids, Michigan""]]"
"TEXT: New Jersey Gov. Thomas Kean , who is leaving office after two terms at the end of this year , was greeted with effuse public praise by his colleagues during the conference.","[[""Thomas Kean"", ""Office"", ""Governor of New Jersey""]]"
"TEXT: ` ` The country was starved of resources , ' ' said Marcos Victorica , director of the Institute of Contemporary Studies.","[[""Institute of Contemporary Studies"", ""Director"", ""Marcos Victorica""]]"
TEXT: Excess Lira Reportedly Causes Currency Crisis NC1901223094 London Kanal-6 Television in Turkish 1700 GMT 19 Jan 94,"[[""Excess Lira Reportedly Causes Currency Crisis"", ""date"", ""19 Jan 94""], [""Excess Lira Reportedly Causes Currency Crisis"", ""channel"", ""Kanal-6 Television""]]"
"TEXT: "" This is the Garrett place where John Wilkes Booth , assassin of Lincoln , was cornered by Union soldiers and killed April 26 , 1865 .","[[""John Wilkes Booth"", ""Killed"", ""Abraham Lincoln""]]"
"TEXT: BANGKOK , Thailand ( AP )","[[""Bangkok"", ""is_part_of"", ""Thailand""]]"
"TEXT: Joseph Cicippio , 58 , was acting comptroller at the American University of Beirut when he was kidnapped from the campus Sept. 12 , 1986.","[[""Joseph Cicippio"", ""Attached_to"", ""American University of Beirut""]]"
"TEXT: The Santa Ana winds _ also called ` ` devil winds ' ' _ are spun off by high pressure over the interior of the country , picking up speed as they move from Southern California 's deserts through mountain passes and roar down on adjacent communities .","[[""Santa Ana winds"", ""Spin-off"", ""High pressure over the interior of the country""]]"
TEXT: FL2706231194 Havana Radio Reloj Network in Spanish 1402 GMT 27 Jun 94,"[[""FL2706231194"", ""Title"", ""Havana Radio Reloj Network in Spanish""]]"
"TEXT: ` ` Our white paper , market pulp and packaging businesses turned in particularly impressive results in 1988 , ' ' said John A. Georges , International Paper 's chairman and chief executive officer .","[[""International Paper"", ""Chairman"", ""John A. Georges""]]"
TEXT: The FA-18 Hornet was on a mission to Pinecastle Electronic Warfare Range in the Ocala National Forest when the bomb tumbled free at 1 : 50 p.m .,"[[""FA-18 Hornet"", ""Aircraft"", ""F/A-18 Hornet""], [""FA-18 Hornet"", ""Flight_Status"", ""Flight""], [""FA-18 Hornet"", ""Location"", ""Ocala National Forest""]]"
"TEXT: EAST LANSING , Mich.","[[""East Lansing"", ""is_part_of"", ""Michigan""]]"
"TEXT: Born in Athens , Psacharopoulos came to the United States at age 17 to enter Oberlin College , where he studied art history .","[[""George Psacharopoulos"", ""Born"", ""Athens""], [""George Psacharopoulos"", ""Education"", ""Oberlin College""]]"
"TEXT: Two days later , Perry operated on Kennedy 's assassin , Lee Harvey Oswald , who had just been shot by Jack Ruby .","[[""Lee Harvey Oswald"", ""Killed"", ""John F. Kennedy""], [""John F. Kennedy"", ""Assassin"", ""Lee Harvey Oswald""], [""Lee Harvey Oswald"", ""Shot_By"", ""Jack Ruby""]]"
"TEXT: The prime was accompanied by his wife , Datuk Sri Datin Paduka Dr. Siti Hasmah and the deputy secretary of the Foreign Ministry , Datuk Abdul Halim Ali , during his brief visit to South Africa .","[[""Datuk Abdul Halim Ali"", ""Office"", ""Foreign Ministry""]]"
"TEXT: The federal appeals court previously overturned a key provision of Arizona 's death penalty statute in the case of John Harvey Adamson , convicted of murdering reporter Don Bolles .","[[""Don Bolles"", ""Death_Penalty"", ""Death""], [""Don Bolles"", ""Crime"", ""Murder""], [""Don Bolles"", ""Sex"", ""Female""], [""Don Bolles"", ""Born"", ""1938""]]"
"TEXT: The movie 's script remains a secret , but Stone has said Kevin Costner will star as New Orleans prosecutor Jim Garrison , who said that Kennedy was the victim of an FBI and CIA conspiracy and that Lee Harvey Oswald , identified by a presidential commission as the lone assassin , was set up to take the blame. ;","[[""Jim Garrison"", ""killed"", ""John F. Kennedy""]]"
"TEXT: Becton Dickinson sells needle containers to doctors and hospitals but may develop a container for home use , said Linda Schmitt , an assistant product manager.","[[""Becton Dickinson"", ""Sale_to"", ""Doctors and hospitals""], [""Becton Dickinson"", ""Sale_to"", ""Home users""], [""Becton Dickinson"", ""Staff_name"", ""Linda Schmitt""]]"
TEXT: The police files on Kennedy 's shooting could shed new light on persistent questions about whether Sirhan Bishara Sirhan was the only gunman in the shooting .,"[[""Sirhan Bishara Sirhan"", ""Assassination"", ""Robert F. Kennedy""]]"
TEXT: NC1404123794 Cairo AL-AHALI in Arabic 6 Apr 94 p 6,"[[""NC1404123794"", ""language"", ""Arabic""], [""NC1404123794"", ""date"", ""6 April 1994""]]"
"TEXT: In 1936 , rock legend Buddy Holly was born Charles Hardin Holley in Lubbock , Texas .","[[""Buddy Holly"", ""Born"", 1936]]"
"TEXT: Belli 's clients have included Jack Ruby , who killed John F. Kennedy assassin Lee Harvey Oswald , and Jim and Tammy Bakker .","[[""Jack Ruby"", ""Client"", ""John F. Kennedy""], [""Jack Ruby"", ""Client"", ""Tammy Bakker""]]"
"TEXT: Bosnia 's capital , Sarajevo , is best-known as the site of the assassination in 1914 of Austrian Archduke Franz Ferdinand by young Bosnian nationalist Gavrilo Princip , which was the spark that ignited World War I. No single party appeared likely to win a clear majority in Bosnia 's 240-seat bicameral parliament .","[[""Bosnia"", ""capital"", ""Sarajevo""]]"
TEXT: Walesa said Solidarity wants to avoid unrest .,"[[""Solidarity"", ""Person"", Lech Walesa]]"
"TEXT: In 1817 , naturalist-author Henry David Thoreau was born in Concord , Mass .","[[""Henry David Thoreau"", ""Born"", ""1817""]]"
"TEXT: The nine sentences noting the spot where Dallas was settled are followed by this : ` ` On Nov. 22 , 1963 , the building gained national notoriety when Lee Harvey Oswald allegedly shot and killed President John F. Kennedy from a sixth floor window as the presidential motorcade passed the site. ' '","[[""John F. Kennedy"", ""Assassination"", ""Lee Harvey Oswald""]]"
"TEXT: It almost makes me want to laugh. ( Minoli ) Why ? ( Fini ) Bossi is a very strange character and his extreme envy has been demonstrated. ( passage omitted ) He tried to get votes from the south , those votes which he now despises so much , but the south sent him back to the valleys. ( Minoli ) You said that Bossi reminded you of Hitler trapped in his Berlin bunker , a man with delusions of grandeur and a tendency towards suicide .","[[""Bossi"", ""reminds_someone_of"", ""Hitler""]]"
"TEXT: ` ` One thing I have learned over the past 17 months is that the truth is hard to find , and it remains so , ' ' said Mrs. Higgins , 37 , who is a major inthe Marine Corps and works at the Pentagon as a public information officer.","[[""Mrs. Higgins"", ""Rank"", ""Major""], [""Mrs. Higgins"", ""Works_at"", ""Pentagon""]]"
"TEXT: Sam Kadet of the corporate law firm of Skadden , Arps said Popeyes could give Church 's notice on Thursday that it planned to proceed with the takeover attempt and deliver the information to Church 's after five business days .","[[""Sam Kadet"", ""Worked_For"", ""Skadden, Arps""]]"
"TEXT: Yisrael Tal , one of the top military strategists in Israel , says the Arabs have reached a strategic balance with Israel through their acquisition of ground-to-ground missiles .","[[""Yisrael Tal"", ""Works_for"", ""Israel Defense Forces""]]"
"TEXT: Some people in the United States are saying that Clinton "" gave away "" $12 billion to Russia -- this is the amount it is proposed to pay for uranium destined for U.S. nuclear electric power stations , which will be obtained from our nuclear warheads .","[[""Clinton"", ""President"", ""Clinton""]]"
"TEXT: Guy M. Struve , the New York attorney representing Church 's , said he was disappointed and did not know when the chain would decide whether to appeal Thursday 's ruling .","[[""Guy M. Struve"", ""Worked_For"", ""Church's Chicken""]]"
"TEXT: A golden future seemed assured when , at 25 , Ogdon shared top place with Soviet pianist Vladimir Ashkenazy in the piano section of the 1962 Moscow Tchaikovsky International Competition for young musicians.","[[""Moscow Tchaikovsky International Competition for Young Musicians"", ""Piano"", ""Soviet Union""]]"
TEXT: Illinois born Charlton Heston was a 27-year-old actor from Broadway and television when he arrived in Hollywood for a five-picture contract with Hal Wallis .,"[[""Charlton Heston"", ""Born"", ""Illinois""]]"
"TEXT: The justices heard 60 minutes of arguments Wednesday on whether they will allow the execution of Johnny Paul Penry , 32 , a convicted rapist-murderer sentenced to die in Texas .","[[""Johnny Paul Penry"", ""Sentenced_To_Death"", ""Texas""]]"
"TEXT: 1911 , playwright Tennessee Williams was born in Columbus , Miss.","[[""Tennessee Williams"", ""Born"", ""1911""]]"
"TEXT: BRISBANE , Australia ( AP )","[[""BRISBANE"", ""City"", ""Brisbane""]]"
TEXT: CNEN Radioprotection Director Laercio Vinhas yesterday reported by fax that the thyroid dysfunctions detected in the employees have no relation whatsoever with their work at the laboratory and that this problem is detected in 3 percent of the overall population .,"[[""CNEN Radioprotection"", ""Director"", ""Laercio Vinhas""]]"
"TEXT: Photographer , author , filmmaker and composer Gordon Parks , 76 , born in Fort Scott , Kan. , who was on the photographic staff of Life Magazine for 19 years before branching out into other activities.","[[""Gordon Parks"", ""Born"", ""Fort Scott, Kansas""]]"
"TEXT: In 1830 , poet Emily Dickinson was born in Amherst , Mass.","[[""Emily Dickinson"", ""Born"", ""1830""]]"
"TEXT: ` ` This is not a good idea for a lot of environmental reasons , ' ' Stephanie Powell , of the DEM 's division of groundwater and freshwater wetlands , said Tuesday.","[[""Stephanie Powell"", ""Works_For"", ""Department of Environmental Management""]]"
"TEXT: Nihat ( Marka ) , deputy leader of SHP ( Social Democrat Populist Party ) parliamentary group , said : They should have run in the elections for the sake of democracy .","[[""Nihat (Marka)"", ""Worked_For"", ""SHP (Social Democrat Populist Party) parliamentary group""]]"
TEXT: A statement from military headquarters said the aircraft crashed during a 260-mile flight to Khartoum from Kassala in eastern Sudan near the Ethiopian border.,"[[""Khartoum"", ""is_part_of"", ""Khartoum Governorate""]]"
"TEXT: Harrington , a professor of political science at Queens College of the City University of New York and honorary president of the Socialist International , died Monday night at his home in suburban Larchmont , the university said in a statement Tuesday.","[[""Harrington"", ""Worked_For"", ""Queens College of the City University of New York""]]"
"TEXT: Norton Winfred Simon was born on Feb. 5 , 1907 , in Portland , Ore. , and spent his teen-age years in San Francisco .","[[""Norton Winfred Simon"", ""Born"", ""1907-02-05""]]"
"TEXT: The National Aeronautics and Space Administration announced Thursday that Ulf D. Merbold , 47 , of the European Space Agency and Roger K. Crouch of NASA have been chosen to train to perform materials sciences experiments on the International Microgravity Laboratory-1 mission scheduled for April 1991 .","[[""International Microgravity Laboratory-1"", ""Operator"", ""NASA""], [""International Microgravity Laboratory-1"", ""Operator"", ""European Space Agency""], [""International Microgravity Laboratory-1"", ""Operator"", ""Roger K. Crouch""]]"
"TEXT: Prime Minister Felipe Gonzalez of Spain told reporters , ` ` The police actions and the arrests are of great importance to Spanish society on such a major matter as the battle against terrorism. ' '","[[""Felipe González"", ""Office"", ""Prime Minister of Spain""]]"
"TEXT: In 1752 , flagmaker Betsy Ross was born in Philadelphia .","[[""Betsy Ross"", ""Born"", ""1752""]]"
"TEXT: This Latin American group 's reaction came two days after the military leaders of Haiti made Emile Jonassaint provisional president of Haiti , following the Haitian Parliament 's declaration that the post was vacant .","[[""Emile Jonassaint"", ""Office"", ""President of Haiti""]]"
"TEXT: No. 1 is the West Coast 's tallest building , the 76-story black-glass Columbia Seafirst Center built in 1985 , before downtown zoning went into effect .","[[""Columbia Seafirst Center"", ""Location"", ""Seattle""], [""Columbia Seafirst Center"", ""Years_in_use"", ""1985""]]"
"TEXT: Yahia Bouguettaya , the former mayor of Mohammadia , south-east Algeria , and Mohamed Touali , an activist in Algeria 's Ettahadi ( Challenge ) political party , were assassinated Wednesday .","[[""Yahia Bouguettaya"", ""Office"", ""Mayor of Mohammadia""]]"
TEXT: He developed evidence regarding the assassination of President Kennedy which supported the findings of the Warren Commission that Lee Harvey Oswald was the lone assassin .,"[[""John F. Kennedy"", ""Assassination"", ""Lee Harvey Oswald""]]"
"TEXT: Montana : A fire burning in grassland and scattered timber in the Custer National Forest became the state 's biggest fire of the summer Tuesday when it surpassed 1 , 200 acres.","[[""Montana"", ""Summer"", ""June""]]"
"TEXT: JOHANNESBURG , South Africa ( AP )","[[""AP"", ""Location"", ""South Africa""]]"
"TEXT: The PRAVDA newspaper carries an interview with Radovan Karadzic , leader of Bosnian Serbs and vice-president of the Union of Serb Writers .","[[""Radovan Karadzic"", ""Office"", ""Vice-President of the Union of Serb Writers""]]"
"TEXT: ( Text ) The National Central Organization of Panamanian Workers ( CNTP ) , which comprises three workers ' federations and 16 unions for a total of 12 , 000 workers , has proclaimed its determination to support Dr. Ernesto Perez Balladares for the presidency of the Republic .","[[""CNTP"", ""Size"", ""12, 000""]]"
