text,true_relations,gold_relations,explanations
"Somewhat chastened by his retreat in the polls , Mr. Blair acknowledged that Britons had turned against him in part over accusations that he led them into a war in Iraq on dubious legal grounds and on the false premise that Saddam Hussein presented a direct threat because of a supposed arsenal of unconventional weapons that was never found . ''","[['Saddam Hussein', 8, 'Iraq'], ['Saddam Hussein', 7, 'Iraq'], ['Saddam Hussein', 5, 'Iraq']]","[['Saddam Hussein', 'PEO_PLACE_OF_DEATH', 'Iraq'], ['Saddam Hussein', 'PEO_PLACE_OF_BIRTH', 'Iraq'], ['Saddam Hussein', 'PEO_NATIONALITY', 'Iraq']]",Explanations: Saddam Hussein died in Iraq; Saddam Hussein was from Iraq; Saddam Hussein was the president of Iraq; 
"Rupert Murdoch and John C. Malone , who have wrangled for two years over Mr. Malone 's challenge to Mr. Murdoch 's control of the News Corporation , have made peace .","[['Rupert Murdoch', 15, 'News Corporation'], ['News Corporation', 16, 'Rupert Murdoch']]","[['Rupert Murdoch', 'BUS_COMPANY', 'News Corporation'], ['News Corporation', 'BUS_FOUNDERS', 'Rupert Murdoch']]",Explanations: Rupert Murdoch controls the News Corporation; News Corporation was founded by Rupert Murdoch; 
"Manhattan , especially the East Village , has long been well stocked with cheap and raucous yakitori places that specialize in skewers and beer .","[['Manhattan', 0, 'East Village'], ['East Village', 3, 'Manhattan']]","[['Manhattan', 'LOC_CONTAINS', 'East Village'], ['East Village', 'LOC_NEIGHBORHOOD', 'Manhattan']]",Explanations: Manhattan contains East Village; The neighborhood of East Village is located in Manhattan; 
"HEADING OUT -- Sanford I. Weill stepped down as chairman of Citigroup , the worldwide financial supermarket he had meticulously and single-mindedly stitched together through dozens of mergers and acquisitions .","[['Citigroup', 20, 'Sanford I. Weill']]","[['Citigroup', 'BUS_ADVISORS', 'Sanford I. Weill']]",Explanations: Sanford I. Weill is the chairman of Citigroup; 
"He had decided to use the premiere to publicize the issue ; his plan was to invite the neighborhood 's Russian speakers to sign a petition against piracy , a common practice at the area 's Russian-language video outlets , which sell films and music from Russia and by Russian immigrants in the United States .","[['Russian', 11, 'Russia']]","[['Russian', 'PEO_GEORGRAPHIC_DISTRIBUTION', 'Russia']]",Explanations: Russians reside in the geographical area of Russia; 
"In 1995 , Cleveland successfully lobbied to have the name Cleveland Browns stay in that city after that venerable franchise 's owner , Art Modell , opted to move it to Baltimore .","[['Cleveland', 22, 'Cleveland Browns'], ['Cleveland Browns', 23, 'Cleveland']]","[['Cleveland', 'SPO_TEAMS', 'Cleveland Browns'], ['Cleveland Browns', 'SPO_LOCATION', 'Cleveland']]",Explanations: Cleveland Browns is the sports team of city of Cleveland; Cleveland Browns franchise is located in Cleveland; 
"Mr. Fields , speaking from vacation in France , added , '' That a mogul like Sumner Redstone could make a statement so vicious , so pompous , so petulant as that he did n't want to make a deal with Tom Cruise because of his personal conduct -- it tells you more about Sumner Redstone and Viacom , than about Tom Cruise . ''","[['Sumner Redstone', 18, 'Viacom'], ['Sumner Redstone', 18, 'Viacom'], ['Sumner Redstone', 15, 'Viacom'], ['Viacom', 19, 'Sumner Redstone'], ['Sumner Redstone', 15, 'Viacom'], ['Viacom', 19, 'Sumner Redstone']]","[['Sumner Redstone', 'BUS_MAJOR_SHAREHOLDER', 'Viacom'], ['Sumner Redstone', 'BUS_MAJOR_SHAREHOLDER', 'Viacom'], ['Sumner Redstone', 'BUS_COMPANY', 'Viacom'], ['Viacom', 'BUS_MAJOR_SHAREHOLDERS', 'Sumner Redstone'], ['Sumner Redstone', 'BUS_COMPANY', 'Viacom'], ['Viacom', 'BUS_MAJOR_SHAREHOLDERS', 'Sumner Redstone']]",Explanations: Summer Redstone is a member of Viacom; 
"It is a room of paintings by Leonard Peltier , a citizen of the Anishinabe and Dakota and Lakota nations who is serving two consecutive life terms in Pennsylvania for the murder of two F.B.I. agents on the Pine Ridge Reservation in South Dakota .","[['Leonard Peltier', 12, 'Lakota'], ['Lakota', 13, 'Leonard Peltier']]","[['Leonard Peltier', 'PEO_ETHNICITY', 'Lakota'], ['Lakota', 'PEO_PEOPLE', 'Leonard Peltier']]",Explanations: Explanations: Leonard Peltier is a citizen and member of the Lakota Nation; Lakota is the ethnic group of Leonard Peltier; 
"INSIDE THE N.B.A. Correction : February 9 , 2006 , Thursday A sports article on the Spotlight page on Sunday about Dick Bavetta , a longtime referee in the National Basketball Association , misstated the number he was approaching to set the record for regular-season games worked .","[['Dick Bavetta', 14, 'National Basketball Association']]","[['Dick Bavetta', 'PEO_PROFESSION', 'National Basketball Association']]",Explanations: 'Dick Bavetta works at the National Basketball Association; 
"Now the United States Postal Service may be displaying a similar rebellious streak : tomorrow at the huge Sturgis motorcycle rally in the Black Hills of South Dakota , the Postal Service will issue a set of four stamps that depict classic American bikes .","[['United States Postal Service', 21, 'Postal Service']]","[['United States Postal Service', 'BUS_INDUSTRY', 'Postal Service']]",Explanations: United States Postal Service is in the industry of Postal Service; 
