text,gen,fn
"one of warner 's lawyers , andrew hall of miami , fla. , confirmed tuesday that warner is trying to settle the case.","[['andrew hall', 'live_in', 'miami'], ['andrew hall', 'live_in', 'fla.']]","['miami', 'located_in', 'fla.']"
"grand rapids , mich .","[['grand rapids', 'located_in', 'mich.']]","['grand rapids', 'located_in', 'mich .']"
"joseph cicippio , 58 , was acting comptroller at the american university of beirut when he was kidnapped from the campus sept. 12 , 1986.","[['joe cicippio', 'work_for', 'american university']]","['joseph cicippio', 'work_for', 'american university of beirut']"
the fa-18 hornet was on a mission to pinecastle electronic warfare range in the ocala national forest when the bomb tumbled free at 1 : 50 p.m .,"[['pinnacle electronic warfare range', 'located_in', 'ocala national forest']]","['pinecastle electronic warfare range', 'located_in', 'ocala national forest']"
"born in athens , psacharopoulos came to the united states at age 17 to enter oberlin college , where he studied art history .","[['psacharopoulos', 'live_in', 'athens']]","['oberlin college', 'orgbased_in', 'united states']"
"two days later , perry operated on kennedy 's assassin , lee harvey oswald , who had just been shot by jack ruby .","[['lee harvey oswald', 'kill', 'kennedy']]","['jack ruby', 'kill', 'lee harvey oswald']"
"the movie 's script remains a secret , but stone has said kevin costner will star as new orleans prosecutor jim garrison , who said that kennedy was the victim of an fbi and cia conspiracy and that lee harvey oswald , identified by a presidential commission as the lone assassin , was set up to take the blame. ;","[['kenneth costner', 'kill', 'kenneth kennedy']]","['lee harvey oswald', 'kill', 'kennedy']"
"becton dickinson sells needle containers to doctors and hospitals but may develop a container for home use , said linda schmitt , an assistant product manager.","[['becton dickinson', 'work_for', 'doctors'], ['linda schmitt', 'work_for', 'assist product manager']]","['linda schmitt', 'work_for', 'becton dickinson']"
the police files on kennedy 's shooting could shed new light on persistent questions about whether sirhan bishara sirhan was the only gunman in the shooting .,"[['serhan bishara sirhan', 'kill', 'kennedy']]","['sirhan bishara sirhan', 'kill', 'kennedy']"
"in 1936 , rock legend buddy holly was born charles hardin holley in lubbock , texas .","[['buddy holly', 'live_in', 'lucbock, texas']]","['buddy holly', 'live_in', 'lubbock , texas']"
"in 1936 , rock legend buddy holly was born charles hardin holley in lubbock , texas .","[['buddy holly', 'live_in', 'lucbock, texas']]","['charles hardin holley', 'live_in', 'lubbock , texas']"
"belli 's clients have included jack ruby , who killed john f. kennedy assassin lee harvey oswald , and jim and tammy bakker .","[['jack ruby', 'kill', 'lee harvey oswald']]","['lee harvey oswald', 'kill', 'john f. kennedy']"
"bosnia 's capital , sarajevo , is best-known as the site of the assassination in 1914 of austrian archduke franz ferdinand by young bosnian nationalist gavrilo princip , which was the spark that ignited world war i. no single party appeared likely to win a clear majority in bosnia 's 240-seat bicameral parliament .","[['gavrilo princip', 'kill', 'austrian archduke franz ferdinand']]","['sarajevo', 'located_in', 'bosnia']"
walesa said solidarity wants to avoid unrest .,"[['so solidarity', 'orgbased_in', 'wales']]","['walesa', 'work_for', 'solidarity']"
"in 1817 , naturalist-author henry david thoreau was born in concord , mass .","[['henry david thoreau', 'live_in', 'concordia, mass']]","['henry david thoreau', 'live_in', 'concord , mass']"
"it almost makes me want to laugh. ( minoli ) why ? ( fini ) bossi is a very strange character and his extreme envy has been demonstrated. ( passage omitted ) he tried to get votes from the south , those votes which he now despises so much , but the south sent him back to the valleys. ( minoli ) you said that bossi reminded you of hitler trapped in his berlin bunker , a man with delusions of grandeur and a tendency towards suicide .","[['bossi', 'live_in', 'berlin']]","['hitler', 'live_in', 'berlin']"
"` ` one thing i have learned over the past 17 months is that the truth is hard to find , and it remains so , ' ' said mrs. higgins , 37 , who is a major inthe marine corps and works at the pentagon as a public information officer.","[['mrs. higgins', 'work_for', 'marine corps'], ['mrs. higgins', 'work_for', 'potentially'], ['mrs. higgins', 'work_for', 'potentially'], ['mrs. higgins', 'work_for', 'potentially'], ['mrs. higgins', 'work_for', 'potentially'], ['potentially', 'work_for', 'potentially']]","['mrs. higgins', 'work_for', 'pentagon']"
"some people in the united states are saying that clinton "" gave away "" $12 billion to russia -- this is the amount it is proposed to pay for uranium destined for u.s. nuclear electric power stations , which will be obtained from our nuclear warheads .","[['clinton', 'live_in', 'united states']]","['clinton', 'live_in', 'u.s.']"
"a golden future seemed assured when , at 25 , ogdon shared top place with soviet pianist vladimir ashkenazy in the piano section of the 1962 moscow tchaikovsky international competition for young musicians.","[['tchaikovsky international competition', 'orgbased_in', 'moscow'], ['tchaikovsky international competition', 'orgbased_in', 'moscow'], ['tchaikovsky international competition', 'orgbased_in', 'moscow']]","['vladimir ashkenazy', 'live_in', 'soviet']"
"1911 , playwright tennessee williams was born in columbus , miss.","[['tennessee williams', 'live_in', 'columbus, miss.']]","['tennessee williams', 'live_in', 'columbus , miss.']"
"brisbane , australia ( ap )","[['brisanbrie', 'located_in', 'australia'], ['ap', 'orgbased_in', 'brisanbrie'], ['ap', 'orgbased_in', 'australia']]","['brisbane', 'located_in', 'australia']"
"brisbane , australia ( ap )","[['brisanbrie', 'located_in', 'australia'], ['ap', 'orgbased_in', 'brisanbrie'], ['ap', 'orgbased_in', 'australia']]","['ap', 'orgbased_in', 'brisbane']"
"photographer , author , filmmaker and composer gordon parks , 76 , born in fort scott , kan. , who was on the photographic staff of life magazine for 19 years before branching out into other activities.","[['g gordon parks', 'live_in', 'fort scott, kan.']]","['gordon parks', 'live_in', 'fort scott , kan.']"
"in 1830 , poet emily dickinson was born in amherst , mass.","[['emily dickinson', 'live_in', 'amherst, mass.']]","['emily dickinson', 'live_in', 'amherst , mass.']"
"nihat ( marka ) , deputy leader of shp ( social democrat populist party ) parliamentary group , said : they should have run in the elections for the sake of democracy .","[['nihat', 'work_for', 'shp'], ['marka', 'work_for', 'shp'], ['nihat', 'work_for', 'social democrat populist party']]","['marka', 'work_for', 'social democrat populist party']"
a statement from military headquarters said the aircraft crashed during a 260-mile flight to khartoum from kassala in eastern sudan near the ethiopian border.,"[['kansala', 'located_in', 'sudan']]","['kassala', 'located_in', 'sudan']"
"harrington , a professor of political science at queens college of the city university of new york and honorary president of the socialist international , died monday night at his home in suburban larchmont , the university said in a statement tuesday.","[['harrington', 'work_for', 'queens college'], ['harrington', 'work_for', 'city university of new york'], ['harrington', 'work_for', 'socialist international']]","['harrington', 'live_in', 'larchmont']"
"norton winfred simon was born on feb. 5 , 1907 , in portland , ore. , and spent his teen-age years in san francisco .","[['montgomery', 'located_in', 'portland, ore.'], ['montgomery', 'live_in', 'portland, ore.']]","['norton winfred simon', 'live_in', 'portland , ore.']"
"the national aeronautics and space administration announced thursday that ulf d. merbold , 47 , of the european space agency and roger k. crouch of nasa have been chosen to train to perform materials sciences experiments on the international microgravity laboratory-1 mission scheduled for april 1991 .","[['ulf d. merbold', 'work_for', 'european space agency'], ['roger k. crouch', 'work_for', 'nasa']]","['roger k. crouch', 'work_for', 'national aeronautics and space administration']"
"this latin american group 's reaction came two days after the military leaders of haiti made emile jonassaint provisional president of haiti , following the haitian parliament 's declaration that the post was vacant .","[['emmel jonassaint', 'live_in', 'haiti']]","['emile jonassaint', 'live_in', 'haiti']"
"this latin american group 's reaction came two days after the military leaders of haiti made emile jonassaint provisional president of haiti , following the haitian parliament 's declaration that the post was vacant .","[['emmel jonassaint', 'live_in', 'haiti']]","['emile jonassaint', 'live_in', 'haiti']"
"this latin american group 's reaction came two days after the military leaders of haiti made emile jonassaint provisional president of haiti , following the haitian parliament 's declaration that the post was vacant .","[['emmel jonassaint', 'live_in', 'haiti']]","['haitian parliament', 'orgbased_in', 'haiti']"
"this latin american group 's reaction came two days after the military leaders of haiti made emile jonassaint provisional president of haiti , following the haitian parliament 's declaration that the post was vacant .","[['emmel jonassaint', 'live_in', 'haiti']]","['haitian parliament', 'orgbased_in', 'haiti']"
"yahia bouguettaya , the former mayor of mohammadia , south-east algeria , and mohamed touali , an activist in algeria 's ettahadi ( challenge ) political party , were assassinated wednesday .","[['yahia bouguettaya', 'live_in', 'mohammadia'], ['mohamed touali', 'work_for', 'ettahadi (challenge)'], ['ettahadi (challenge)', 'orgbased_in', 'algeria']]","['mohammadia', 'located_in', 'algeria']"
"yahia bouguettaya , the former mayor of mohammadia , south-east algeria , and mohamed touali , an activist in algeria 's ettahadi ( challenge ) political party , were assassinated wednesday .","[['yahia bouguettaya', 'live_in', 'mohammadia'], ['mohamed touali', 'work_for', 'ettahadi (challenge)'], ['ettahadi (challenge)', 'orgbased_in', 'algeria']]","['mohamed touali', 'work_for', 'ettahadi ( challenge ) political party']"
"yahia bouguettaya , the former mayor of mohammadia , south-east algeria , and mohamed touali , an activist in algeria 's ettahadi ( challenge ) political party , were assassinated wednesday .","[['yahia bouguettaya', 'live_in', 'mohammadia'], ['mohamed touali', 'work_for', 'ettahadi (challenge)'], ['ettahadi (challenge)', 'orgbased_in', 'algeria']]","['ettahadi ( challenge ) political party', 'orgbased_in', 'algeria']"
"yahia bouguettaya , the former mayor of mohammadia , south-east algeria , and mohamed touali , an activist in algeria 's ettahadi ( challenge ) political party , were assassinated wednesday .","[['yahia bouguettaya', 'live_in', 'mohammadia'], ['mohamed touali', 'work_for', 'ettahadi (challenge)'], ['ettahadi (challenge)', 'orgbased_in', 'algeria']]","['ettahadi ( challenge ) political party', 'orgbased_in', 'algeria']"
"the pravda newspaper carries an interview with radovan karadzic , leader of bosnian serbs and vice-president of the union of serb writers .","[['radovan karadzic', 'live_in', 'bosnia and herzegovina'], ['radovan karadzic', 'work_for', 'union of serbian writers']]","['radovan karadzic', 'work_for', 'union of serb writers']"
"( text ) the national central organization of panamanian workers ( cntp ) , which comprises three workers ' federations and 16 unions for a total of 12 , 000 workers , has proclaimed its determination to support dr. ernesto perez balladares for the presidency of the republic .","[['the national central organization of panamanian workers', 'orgbased_in', 'panama'], ['dr. ernesto perez balladares', 'live_in', 'panama'], ['dr. ernesto perez balladares', 'live_in', 'republic']]","['the national central organization of panamanian workers', 'orgbased_in', 'the republic']"
"( text ) the national central organization of panamanian workers ( cntp ) , which comprises three workers ' federations and 16 unions for a total of 12 , 000 workers , has proclaimed its determination to support dr. ernesto perez balladares for the presidency of the republic .","[['the national central organization of panamanian workers', 'orgbased_in', 'panama'], ['dr. ernesto perez balladares', 'live_in', 'panama'], ['dr. ernesto perez balladares', 'live_in', 'republic']]","['cntp', 'orgbased_in', 'the republic']"
"a mechanized infantry battalion belonging to the 21st brigade of cerro muriano in cordoba and to the 12th brigade in botoa in badajoz , a company of the special operations group in alicante , and a squadron from the jarama 1st cavalry brigade from salamanca make up the cordoba group .","[['cerro muriano', 'orgbased_in', 'cordoba'], ['cerro muriano', 'work_for', '21st brigade'], ['12th brigade', 'orgbased_in', 'botoa'], ['badajoz', 'located_in', 'cordoba'], ['badajoz', 'located_in', 'cordoba']]","['12th brigade', 'orgbased_in', 'badajoz']"
"a mechanized infantry battalion belonging to the 21st brigade of cerro muriano in cordoba and to the 12th brigade in botoa in badajoz , a company of the special operations group in alicante , and a squadron from the jarama 1st cavalry brigade from salamanca make up the cordoba group .","[['cerro muriano', 'orgbased_in', 'cordoba'], ['cerro muriano', 'work_for', '21st brigade'], ['12th brigade', 'orgbased_in', 'botoa'], ['badajoz', 'located_in', 'cordoba'], ['badajoz', 'located_in', 'cordoba']]","['special operations group', 'orgbased_in', 'alicante']"
"a mechanized infantry battalion belonging to the 21st brigade of cerro muriano in cordoba and to the 12th brigade in botoa in badajoz , a company of the special operations group in alicante , and a squadron from the jarama 1st cavalry brigade from salamanca make up the cordoba group .","[['cerro muriano', 'orgbased_in', 'cordoba'], ['cerro muriano', 'work_for', '21st brigade'], ['12th brigade', 'orgbased_in', 'botoa'], ['badajoz', 'located_in', 'cordoba'], ['badajoz', 'located_in', 'cordoba']]","['jarama 1st cavalry brigade', 'orgbased_in', 'salamanca']"
treiki disclosed the planned missile tests during security council debate tuesday night after the u.s. 6th fleet informed libyan air traffic controllers so they could divert civilian air traffic .,"[['treiki', 'live_in', 'u.s.']]","['6th fleet', 'orgbased_in', 'u.s.']"
"britain 's duchess of york and former philippines first lady imelda marcos topped the list by blackwell , a designer and self-appointed fashion arbiter whose real name is richard sylvan selzer .","[['blackwell', 'live_in', 'britain'], ['richard sylvan selzer', 'live_in', 'philippines']]","['duchess of york', 'live_in', 'britain']"
"britain 's duchess of york and former philippines first lady imelda marcos topped the list by blackwell , a designer and self-appointed fashion arbiter whose real name is richard sylvan selzer .","[['blackwell', 'live_in', 'britain'], ['richard sylvan selzer', 'live_in', 'philippines']]","['imelda marcos', 'live_in', 'philippines']"
moscow march 5 ( itar-tass ) -- moscow leading newspapers concentrate on the speeches by president boris yeltsin and premier viktor chernomyrdin at the government 's enlarged meeting on friday .,"[['boris yeltsin', 'live_in', 'moscow'], ['viktor chernomyrdin', 'live_in', 'moscow']]","['itar-tass', 'orgbased_in', 'moscow']"
moscow march 5 ( itar-tass ) -- moscow leading newspapers concentrate on the speeches by president boris yeltsin and premier viktor chernomyrdin at the government 's enlarged meeting on friday .,"[['boris yeltsin', 'live_in', 'moscow'], ['viktor chernomyrdin', 'live_in', 'moscow']]","['itar-tass', 'orgbased_in', 'moscow']"
