input,explanations,gold_relations
"TEXT: In Idaho , where 76 , 000 acres have been blackened , smoke from fires miles away hung over Boise but no warnings were issued to stay indoors.","Explanation: Smoke from fires miles away hung over Boise, hence we can infer that Boise is located in Idaho.</s>","[['Boise', 'Located_In', 'Idaho']]"
"TEXT: The strong Santa Ana winds that earlier produced wind gusts as high as 100 mph in Southern California , destroying a blimp , shutting down an airport , and cutting power to thousands of utility customers were subsiding , officials said .","Explanation: Santa Ana winds produced wind gusts in Southern California, so it can be inferred that Santa Ana is located in Southern California.</s>","[['Santa Ana', 'Located_In', 'Southern California']]"
"TEXT: But Sen. Strom Thurmond , R-S.C. , sponsor of a proposed constitutional amendment , said , ` ` An overwhelming majority of Americans are looking to the Congress to ... restore the proper civil respect for our American flag. ' '",Explanation: Strom Thurmond is a senator that works for the Congress.</s>,"[['Strom Thurmond', 'Work_For', 'Congress']]"
"TEXT: With considerable rough sailing and difficulty anticipated in the process of ratification by the U.S. Congress , the Congress is hardly expected to complete the ratification process within the time limit set by the UR agreement .",Explanation: The U.S. Congress is based in the U.S. and is expected to complete the ratification process for the UR agreement.</s>,"[['Congress', 'OrgBased_In', 'U.S.'], ['Congress', 'OrgBased_In', 'U.S.']]"
"TEXT: In another scene , President James Garfield 's assassin Charles Guiteau ( Jonathan Hadary ) prances up and down the stairs of the gallows where he will be hanged , all the while singing a spirited Gospel tune about "" going to the Lordy . """,Explanation: Charles Guiteau was the assassin of President James Garfield.</s>,"[['Charles Guiteau', 'Kill', 'President James Garfield']]"
"TEXT: SPACE CENTER , Houston ( AP )",Explanation: SPACE CENTER is an organization based in Houston.</s>,"[['SPACE CENTER', 'OrgBased_In', 'Houston']]"
"TEXT: Grant B. Cooper , an attorney who defended Kennedy assassin Sirhan B. Sirhan , has died at age 87.",Explanation: Sirhan B. Sirhan was the assassin of Kennedy.</s>,"[['Sirhan B. Sirhan', 'Kill', 'Kennedy']]"
"TEXT: Woodrow Wilson ( 28th President ) : Born at about midnight , leaving the date in doubt , Dec. 28 or 29 , 1856 , in a Presbyterian manse in Staunton , Va .","Explanation: Woodrow Wilson was born in a Presbyterian manse in Staunton, Va., and therefore lived in Staunton, Va..</s>","[['Woodrow Wilson', 'Live_In', 'Staunton , Va']]"
"TEXT: ` ` I 'm delighted , ' ' said Peter Butler , attorney for A. Copeland Enterprises Inc. _ the company which owns New Orleans-based Popeyes Famous Fried Chicken _ after Judge Henry A. Politz announced the decision for the three-judge 5th U.S. Circuit Court of Appeals panel .",Explanation: Peter Butler is an attorney for A. Copeland Enterprises Inc. and Judge Henry A. Politz is a part of the 5th U.S. Circuit Court of Appeals panel.</s>,"[['Peter Butler', 'Work_For', 'A. Copeland Enterprises Inc.'], ['Henry A. Politz', 'Work_For', '5th U.S. Circuit Court of Appeals']]"
"TEXT: In 1782 , the first president who was a native citizen of the United States , Martin Van Buren , was born in Kinderhook , N.Y. In 1791 , composer Wolfgang Amadeus Mozart died in Vienna , Austria , at the age of 35 .","Explanation: Martin Van Buren was born in Kinderhook, N.Y., so he lived in that place.</s>","[['Martin Van Buren', 'Live_In', 'Kinderhook , N.Y.']]"
"TEXT: U.S. Coast Guard Training Center , Petaluma , Calif. ;",Explanation: U.S. Coast Guard Training Center is an organization based in Petaluma and Petaluma is located in Calif..</s>,"[['U.S. Coast Guard Training Center', 'OrgBased_In', 'Petaluma'], ['U.S. Coast Guard Training Center', 'OrgBased_In', 'Calif.'], ['Petaluma', 'Located_In', 'Calif.']]"
TEXT: PM2303111794 Moscow IZVESTIYA in Russian 23 Mar 94 p 3,Explanation: IZVESTIYA is an organization based in Moscow.</s>,"[['IZVESTIYA', 'OrgBased_In', 'Moscow']]"
"TEXT: Pepperell , based in West Point , Ga. , manufactures Martex towels and Arrow shirts and has about a quarter of the nation 's home fashion textile market .","Explanation: Pepperell is an organization based in West Point, Ga., and West Point is located in Ga..</s>","[['Pepperell', 'OrgBased_In', 'West Point'], ['Pepperell', 'OrgBased_In', 'Ga.'], ['West Point', 'Located_In', 'Ga.']]"
"TEXT: In a brief order , the justices refused to reinstate the death sentence of John Harvey Adamson , who was convicted of murdering Phoenix newspaper reporter Don Bolles in 1976 .",Explanation: John Harvey Adamson was convicted of murdering Phoenix newspaper reporter Don Bolles in 1976.</s>,"[['John Harvey Adamson', 'Kill', 'Don Bolles']]"
"TEXT: Michael R. Gordon , chairman of the Montgomery County House delegation , thinks Ms. Toth is in an ` ` embarrassing ' ' position .",Explanation: Michael R. Gordon is the chairman of the Montgomery County House delegation.</s>,"[['Michael R. Gordon', 'Work_For', 'Montgomery County House delegation']]"
"TEXT: ( Text ) Vyacheslav Chornovil , leader of the Ukrainian Popular Rukh , intends to run for the presidency in the 26 June , 1994 elections , officials in the Rukh press service told INTERFAX-Ukraine .",Explanation: Vyacheslav Chornovil is the leader of the Ukrainian Popular Rukh.</s>,"[['Vyacheslav Chornovil', 'Work_For', 'Ukrainian Popular Rukh']]"
"TEXT: Slavko Mestrovic , secretary of the Croatian People 's Party , welcomes the deceleration in the case if it leads toward a just peace , the reintegration of the occupied Croatian territories , the return of the refugees to their homes , and the cessation of the war .",Explanation: Slavko Mestrovic is the secretary of the Croatian People's Party.</s>,"[['Slavko Mestrovic', 'Work_For', ""Croatian People 's Party""]]"
"TEXT: CDT Tuesday in the area of Port Arther and Galveston , Texas.",Explanation: Port Arther and Galveston are places located in Texas.</s>,"[['Port Arther', 'Located_In', 'Texas.'], ['Galveston', 'Located_In', 'Texas.']]"
TEXT: KAL attorney George Tompkins countered that the main evidence in the case is a line drawn by Soviet officials on a map showing an off-course Flight 007 flying for several hours over Russian airspace hundreds of miles to the west of its planned route.,Explanation: George Tompkins is an attorney for KAL.</s>,"[['George Tompkins', 'Work_For', 'KAL']]"
"TEXT: Jacobs , 20 , and Eddie Hatcher , 31 , were charged in the 1988 takeover in Lumberton , N.C.","Explanation: Jacobs and Eddie Hatcher were charged in the 1988 takeover in Lumberton, N.C., which means Lumberton is located in N.C..</s>","[['Lumberton', 'Located_In', 'N.C.']]"
TEXT: Jack Ruby bought the revolver for $62.50 in a Dallas gun shop and used it to shoot Oswald two days after Kennedy was assassinated.,Explanation: Jack Ruby bought a revolver and used it to shoot Oswald.</s>,"[['Jack Ruby', 'Kill', 'Oswald']]"
"TEXT: In 1882 , the notorious outlaw Jesse James was shot to death in St. Joseph , Mo. , by Robert Ford , a member of his own gang .","Explanation: Robert Ford shot to death Jesse James in St. Joseph, Mo..</s>","[['Robert Ford', 'Kill', 'Jesse James']]"
"TEXT: Robert Bernero , chief of waste disposal for the NRC , said the shafts would be ` ` the first major holes to be dug into the Yucca Mountain formation. ' '",Explanation: Robert Bernero is the chief of waste disposal for the NRC.</s>,"[['Robert Bernero', 'Work_For', 'NRC']]"
TEXT: Datuk Sri Dr. Mahathir said the two leaders had invited him to make an official visit to South Africa and he also had extended invitations to the two to make a similar visit to Malaysia .,Explanation: Datuk Sri Dr. Mahathir is from Malaysia and therefore lives in Malaysia.</s>,"[['Datuk Sri Dr. Mahathir', 'Live_In', 'Malaysia']]"
TEXT: SAN FRANCISCO ( AP ),Explanation: AP is an organization based in SAN FRANCISCO.</s>,"[['AP', 'OrgBased_In', 'SAN FRANCISCO']]"
"TEXT: The Environmental Protection Agency is working on a brochure advising diabetics of the best way to dispose of needles , said Robin Woods , a spokeswoman for the agency in Washington , D.C. It will suggest that diabetics place ` ` sharps ' ' _ the needle end of a syringe _ in a hard plastic or metal container like a coffee can before throwing it in the trash , Woods said.","Explanation: The Environmental Protection Agency is based in Washington D.C., and Robin Woods and Woods are both spokespeople for the agency.</s>","[['The Environmental Protection Agency', 'OrgBased_In', 'Washington , D.C.'], ['Robin Woods', 'Work_For', 'The Environmental Protection Agency'], ['Woods', 'Work_For', 'The Environmental Protection Agency']]"
"TEXT: True , Woodrow Wilson was born in Virginia , but he won his political fame as governor of New Jersey , so he hardly counted as a Southerner in political terms .","Explanation: Woodrow Wilson was born in Virginia, so he lived in Virginia.</s>","[['Woodrow Wilson', 'Live_In', 'Virginia']]"
"TEXT: ` ` You can count it on your fingertips , ' ' said veteran Miami Beach political Gerald Schwartz.",Explanation: Gerald Schwartz is a veteran political that lives in Miami Beach.</s>,"[['Gerald Schwartz.', 'Live_In', 'Miami Beach']]"
"TEXT: Not content with that major error , the Journal editorial illustrated a lack of understanding of the overwhelming evidence in the Warren Commission Report proving that Lee Harvey Oswald was the lone gunman who killed President Kennedy and who 45 minutes later killed Dallas Police Officer J.D. Tippit.",Explanation: Lee Harvey Oswald was the lone gunman who killed President Kennedy and Dallas Police Officer J.D. Tippit.</s>,"[['Lee Harvey Oswald', 'Kill', 'President Kennedy'], ['Lee Harvey Oswald', 'Kill', 'Dallas Police Officer J.D. Tippit.']]"
"TEXT: Meanwhile , on a separate occasion , Prince Ranariddh , first prime of Cambodia , reiterated the Phnom Penh government 's wish to open a Cambodian Embassy in Jakarta as soon as possible .","Explanation: Prince Ranariddh is the first prime of Cambodia and works for the Phnom Penh government, which is based in Cambodia. Therefore, it can be assumed that Prince Ranariddh lives in Cambodia.</s>","[['Prince Ranariddh', 'Live_In', 'Cambodia'], ['Prince Ranariddh', 'Work_For', 'Phnom Penh government'], ['Phnom Penh government', 'OrgBased_In', 'Cambodia']]"
TEXT: Church 's is headquartered in San Antonio .,Explanation: Church's is an organization based in San Antonio.</s>,"[[""Church 's"", 'OrgBased_In', 'San Antonio']]"
"TEXT: He graduated from high school from Benton , Tenn. and from Tennessee Tech in Cookville , and holds a doctorate in physics from Virginia Tech .","Explanation: Benton is located in Tenn. and Tennessee Tech is an organization based in Tenn. and in Cookville, which is also located in Tenn..</s>","[['Benton', 'Located_In', 'Tenn.'], ['Tennessee Tech', 'OrgBased_In', 'Tenn.'], ['Tennessee Tech', 'OrgBased_In', 'Cookville'], ['Cookville', 'Located_In', 'Tenn.']]"
"TEXT: In 1893 , comedian Harold Lloyd was born in Burchard , Neb .","Explanation: Harold Lloyd was born in Burchard, Neb. and therefore he lived in Burchard, Neb..</s>","[['Harold Lloyd', 'Live_In', 'Burchard , Neb']]"
TEXT: Sofia BTA,Explanation: BTA is an organization based in Sofia.</s>,"[['BTA', 'OrgBased_In', 'Sofia']]"
"TEXT: In 1752 , flagmaker Betsy Ross was born in Philadelphia .","Explanation: Betsy Ross was born in Philadelphia, so it can be inferred that she lived in Philadelphia.</s>","[['Betsy Ross', 'Live_In', 'Philadelphia']]"
"TEXT: GSA Depot , Davisville , R.I. ; and Mineral Wells , Texas .",Explanation: GSA Depot is located in Davisville and R.I. and Mineral Wells is located in Texas.</s>,"[['GSA Depot', 'Located_In', 'Davisville'], ['GSA Depot', 'Located_In', 'R.I.'], ['Davisville', 'Located_In', 'R.I.'], ['Mineral Wells', 'Located_In', 'Texas']]"
"TEXT: Kennedy had just won California 's Democratic presidential primary when Sirhan shot him in Los Angeles on June 5 , 1968 .","Explanation: Sirhan shot Kennedy in Los Angeles on June 5, 1968.</s>","[['Sirhan', 'Kill', 'Kennedy']]"
"TEXT: Dan Quayle 's first trip out of the country as vice is likely to be to Caracas , Venezuela , for Carlos Andres Perez 's presidential inauguration on Feb. 2 , an official in President-elect Bush 's transition said Thursday .","Explanation: Caracas is located in Venezuela and Carlos Andres Perez is the president of Venezuela, thus he lives in Caracas and Venezuela.</s>","[['Caracas', 'Located_In', 'Venezuela'], ['Carlos Andres Perez', 'Live_In', 'Caracas'], ['Carlos Andres Perez', 'Live_In', 'Venezuela']]"
"TEXT: Rogers , a native of Fort Worth , Texas , has a dry wit and so much of the American southwest in his manner and voice that he spends a lot of time denying he 's related to the famous Oklahoma cowboy humorist Will Rogers .","Explanation: Rogers is a native of Fort Worth, Texas, and therefore lives in Fort Worth, Texas.</s>","[['Rogers', 'Live_In', 'Fort Worth , Texas']]"
"TEXT: The registrar of the University of Nigeria 's Nsukka campus , U. Umeh , said he had closed the university on the advice of the government .","Explanation: U. Umeh is the registrar of the University of Nigeria's Nsukka campus, which is located in Nigeria.</s>","[['Nsukka', 'Located_In', 'Nigeria']]"
TEXT: Moscow IZVESTIYA,Explanation: IZVESTIYA is an organization based in Moscow.</s>,"[['IZVESTIYA', 'OrgBased_In', 'Moscow']]"
TEXT: He said he only learned his father was a war-stress patient at St. Nicholas Hospital in Gosforth in northeast England after he died two years ago .,"Explanation: St. Nicholas Hospital is an organization based in Gosforth, England and Gosforth is a place located in England.</s>","[['St. Nicholas Hospital', 'OrgBased_In', 'Gosforth'], ['St. Nicholas Hospital', 'OrgBased_In', 'England'], ['Gosforth', 'Located_In', 'England']]"
"TEXT: ROYAL OAK , Mich .",Explanation: ROYAL OAK is a place located in Mich..</s>,"[['ROYAL OAK', 'Located_In', 'Mich .']]"
"TEXT: The session was opened by Aleksandr Kruhlow , a 72-year-old deputy from Sevastopol , organizer of many meetings in Nakhimov Square , and an untiring fighter for the return of Sevastopol and the Crimea to Russia .","Explanation: Aleksandr Kruhlow is a deputy from Sevastopol, and thus lives there.</s>","[['Aleksandr Kruhlow', 'Live_In', 'Sevastopol']]"
"TEXT: The Coast Guard rescued seven people from a sinking shrimp boat near the Sabine Pass station , said station chief Kenneth Compton.",Explanation: Kenneth Compton is the station chief for the Coast Guard.</s>,"[['Kenneth Compton.', 'Work_For', 'Coast Guard']]"
"TEXT: Most of the work conducted by the Warren Commission , which concluded that Lee Harvey Oswald acted alone in the Kennedy slaying , has been opened to the public , a move that has helped researchers evaluate _ and in many cases strongly criticize _ that investigation .",Explanation: Lee Harvey Oswald acted alone in killing Kennedy.</s>,"[['Lee Harvey Oswald', 'Kill', 'Kennedy']]"
"TEXT: In 1898 , composer George Gershwin was born in New York .","Explanation: George Gershwin was born in New York, so he lived in New York.</s>","[['George Gershwin', 'Live_In', 'New York']]"
"TEXT: "" U.S. decision-makers should understand that the signals they send today will have major ramifications for the Israeli approach to the Arrow program , "" says Marvin Feuerwerger in a 1991 study for the Washington Institute for Near East Policy .",Explanation: Marvin Feuerwerger is an employee of the Washington Institute for Near East Policy.</s>,"[['Marvin Feuerwerger', 'Work_For', 'Washington Institute for Near East Policy']]"
TEXT: He disclosed that engineers at the St. Petersburg branch of the Atomenergoproekt institute were completing work on the design of a new NP-500 reactor .,Explanation: The Atomenergoproekt institute is an organization based in St. Petersburg.</s>,"[['Atomenergoproekt institute', 'OrgBased_In', 'St. Petersburg']]"
"TEXT: But four years later , Wright said he would vote against Barry Goldwater because he felt the Arizona senator supported a ` ` slowdown on civil rights ' ' and would take a ` ` harder , more dangerous line on foreign relations. ' '","Explanation: Barry Goldwater was a senator from Arizona, and therefore he lived in Arizona.</s>","[['Barry Goldwater', 'Live_In', 'Arizona']]"
"TEXT: DIMA 's technical manager , engineer Jose Tulio Gomez , said that in addition to industrial wastes , the rivers are also contaminated by human waste , and diesel and petroleum residues discarded by a number of factories .",Explanation: Jose Tulio Gomez is the technical manager of DIMA.</s>,"[['Jose Tulio Gomez', 'Work_For', 'DIMA']]"
"TEXT: Besides , the captain said , the black-eyed peas matter , as it was termed in the papers , was of interest to the president of the black-eyed pea industry as well as to Gen. William C. Westmoreland , the commander of U.S. forces in Vietnam and a South Carolina native .",Explanation: Gen. William C. Westmoreland is a native of South Carolina and therefore lives in South Carolina.</s>,"[['Gen. William C. Westmoreland', 'Live_In', 'South Carolina']]"
"TEXT: ` ` Please don 't execute him , please , ' ' said Mrs. Cicippio , who works at the American Embassy in east Beirut.",Explanation: Mrs. Cicippio works at the American Embassy in east Beirut and therefore must live in Beirut. We can also derive that the American Embassy is located in Beirut.</s>,"[['Mrs. Cicippio', 'Live_In', 'Beirut.'], ['American Embassy', 'Located_In', 'Beirut.']]"
TEXT: Many of the first visitors to a new museum at the former Texas School Book Depository went directly to the sixth-floor spot where Lee Harvey Oswald allegedly fired the shots that killed President Kennedy .,Explanation: Lee Harvey Oswald allegedly fired the shots that killed President Kennedy.</s>,"[['Lee Harvey Oswald', 'Kill', 'President Kennedy']]"
"TEXT: A Placerville jury Wednesday convicted Highway 50 sniper Kenneth Earl Millikan of killing Bay Area Rapid Transit District employee Peter J. Martinelli , the son-in-law of BART Director Nello Bianco. ;",Explanation: Kenneth Earl Millikan was convicted of killing Peter J. Martinelli.</s>,"[['Kenneth Earl Millikan', 'Kill', 'Peter J. Martinelli']]"
"TEXT: Mrs. Vogt was born in Akron ,Ohio , when Ulysses S. Grant was president , and spent much of her life there .","Explanation: Mrs. Vogt was born in Akron, Ohio and spent much of her life there, so we can conclude that she lived in Akron, Ohio.</s>","[['Mrs. Vogt', 'Live_In', 'Akron ,Ohio']]"
"TEXT: Chantal knocked out power on High Island shortly after 7 a.m. , but the few businesses in town remained open , including a grocery where Ms. Barrow was on duty.","Explanation: Ms. Barrow was on duty in a grocery in High Island, thus indicating that she lives in High Island.</s>","[['Ms. Barrow', 'Live_In', 'High Island']]"
"TEXT: Following the plot of the 1973 film ` ` American Graffiti , ' ' directed by Modesto native George Lucas , high school seniors 15 years ago established Graffiti Night on the first Saturday after graduation .","Explanation: George Lucas is a native from Modesto, thus he must have lived in Modesto.</s>","[['George Lucas', 'Live_In', 'Modesto']]"
"TEXT: William Leonard Jennings sobbed loudly as he appeared in a magistrates court in West Yorkshire and was charged with killing his 3-year-old son , Stephen , who was last seen alive on Dec. 12 , 1962 .","Explanation: William Leonard Jennings was charged with killing his 3-year-old son, Stephen.</s>","[['William Leonard Jennings', 'Kill', 'Stephen']]"
"TEXT: The fire at the Pacific Fleet Air Wing 's ammunition dump , which resulted from today 's explosion , is being localized , according to the fleet 's senior duty officer Vsevolod Fadeyev .",Explanation: Vsevolod Fadeyev is a senior duty officer for the Pacific Fleet.</s>,"[['Vsevolod Fadeyev', 'Work_For', 'Pacific Fleet']]"
"TEXT: Before I became ` The man who murdered John Lennon , ' I was basically a decent person , ' ' Chapman said from his isolation cell at Attica state prison , where he is serving 20 years to life.",Explanation: Chapman was the man who murdered John Lennon.</s>,"[['Chapman', 'Kill', 'John Lennon']]"
"TEXT: STOCKTON-ON-TEES , England ( AP ) _ Michael Minns received $160 , 000 from the father he never knew and thought was killed in World War II .",Explanation: STOCKTON-ON-TEES is a place located in England. AP is an organization based in STOCKTON-ON-TEES and England. Michael Minns lives in STOCKTON-ON-TEES and England and works for AP.</s>,"[['STOCKTON-ON-TEES', 'Located_In', 'England'], ['AP', 'OrgBased_In', 'STOCKTON-ON-TEES'], ['AP', 'OrgBased_In', 'England'], ['Michael Minns', 'Live_In', 'STOCKTON-ON-TEES'], ['Michael Minns', 'Live_In', 'England'], ['Michael Minns', 'Work_For', 'AP']]"
TEXT: Madrid EFE,Explanation: EFE is an organization based in Madrid.</s>,"[['EFE', 'OrgBased_In', 'Madrid']]"
"TEXT: Lee 's surrender of the Army of Northern Virginia had virtually ended the war by that time , but Booth thought he could save the South by killing Lincoln , said Tidwell , a retired CIA officer .",Explanation: Booth thought he could save the South by killing Lincoln.</s>,"[['Booth', 'Kill', 'Lincoln']]"
"TEXT: More than 3 million calories of fossil fuel energy normally are required to produce nitrogen fertilizer for an acre of corn grown under a continuous cropping program , said David Pimentel , an ecologist and entomologist at Cornell University.",Explanation: David Pimentel is an ecologist and entomologist at Cornell University.</s>,"[['David Pimentel', 'Work_For', 'Cornell University.']]"
"TEXT: The most vociferous , but also the most categorical , has been Drazen Budisa , chairman of the strongest opposition party , the Croatian Social Liberal Party ( HSLS ) : "" There is no justification for a policy that seeks an ally in the aggressor , while seeking an enemy in the other victim of the aggression .",Explanation: Drazen Budisa is the chairman of the Croatian Social Liberal Party (HSLS).</s>,"[['Drazen Budisa', 'Work_For', 'Croatian Social Liberal Party']]"
"TEXT: After decades of hostility , the Vatican is seizing on what it calls a new spirit of cooperation by Moscow to strengthen the Roman Catholic Church in the Soviet bloc.",Explanation: Moscow is located in the Soviet bloc.</s>,"[['Moscow', 'Located_In', 'Soviet']]"
TEXT: The Former southernmost Yugoslav Republic of Macedonia followed suit so that Yugoslavia now consists of Serbia and Montenegro .,Explanation: Serbia and Montenegro are located in the former Yugoslavia.</s>,"[['Serbia', 'Located_In', 'Yugoslavia'], ['Montenegro', 'Located_In', 'Yugoslavia']]"
"TEXT: In 1809 , author Edgar Allan Poe was born in Boston .",Explanation: Edgar Allan Poe was born in Boston and therefore lived in Boston.</s>,"[['Edgar Allan Poe', 'Live_In', 'Boston']]"
"TEXT: Winds gusting to near 80 mph damaged trees and several buildings at Covington , Okla.",Explanation: Covington is a place located in Okla..</s>,"[['Covington', 'Located_In', 'Okla.']]"
"TEXT: As Michael Holtcamp , the manager of the project , based in Huntsville , Alabama , put it , one slip of the Arrow 's sensor or radar and the mission is unsuccessful .","Explanation: Michael Holtcamp is based in Huntsville, Alabama, and lives there. Additionally, Huntsville is located in Alabama.</s>","[['Michael Holtcamp', 'Live_In', 'Huntsville'], ['Michael Holtcamp', 'Live_In', 'Alabama'], ['Huntsville', 'Located_In', 'Alabama']]"
TEXT: W. Dale Nelson covers the White House for The Associated Press .,Explanation: W. Dale Nelson works for The Associated Press.</s>,"[['W. Dale Nelson', 'Work_For', 'The Associated Press']]"
"TEXT: It is known that President Boris Yeltsin , in his meeting with Bill Clinton , gave him certain official documents on the Lee Harvey Oswald case , who as you know was officially recognized as the man who killed President Kennedy .",Explanation: Lee Harvey Oswald was officially recognized as the man who killed President Kennedy.</s>,"[['Lee Harvey Oswald', 'Kill', 'President Kennedy']]"
"TEXT: Tensions have increased in the predominantly French-speaking province since December , when the Supreme Court of Canada ruled that a provincial law requiring all signs to be only in French was unconstitutional .","Explanation: The Supreme Court of Canada ruled that a provincial law requiring all signs to be only in French was unconstitutional, so it can be inferred that the Supreme Court is based in Canada.</s>","[['Supreme Court', 'OrgBased_In', 'Canada']]"
"TEXT: Ray is being held in Tennessee 's Brushy Mountain State Prison on a 99-year sentence for the April 4 , 1968 , slaying of King .",Explanation: Ray is being held in Tennessee's Brushy Mountain State Prison for the killing of King.</s>,"[['Ray', 'Kill', 'King']]"
"TEXT: Artificial Limbs Will Be Controlled by Nerve Impulses "" ; first paragraph is an introduction ) ( Text ) Wednesday , 10 Nov 93 ( HANDELSBLATT ) --Scientists at Centro Nacional de Microelectronica ( CNM ) in Barcelona are working on the development of a new chip that , implanted in the human body , can receive nerve impulses and forward them to various parts of the body .",Explanation: Centro Nacional de Microelectronica is an organization based in Barcelona.</s>,"[['Centro Nacional de Microelectronica', 'OrgBased_In', 'Barcelona']]"
TEXT: Paris AFP,Explanation: AFP is an organization based in Paris.</s>,"[['AFP', 'OrgBased_In', 'Paris']]"
"TEXT: First Deputy Commander of the Russian Pacific Fleet Igor Khmelnov flew to the site of the explosion at a Pacific Fleet air wing ammunition dump , which occurred at 16.00 local time , the Russian Defence Ministry 's information and press department told ITAR-TASS .","Explanation: Igor Khmelnov is the First Deputy Commander of the Russian Pacific Fleet, thus he works for the Pacific Fleet.</s>","[['Igor Khmelnov', 'Work_For', 'Pacific Fleet']]"
"TEXT: In 1969 , Sirhan Sirhan was sentenced to death for the assassination of New York Sen. Robert F. Kennedy .",Explanation: Sirhan Sirhan was sentenced to death for the assassination of New York Sen. Robert F. Kennedy.</s>,"[['Sirhan Sirhan', 'Kill', 'New York Sen. Robert F. Kennedy']]"
"TEXT: In 1863 , American automaker Henry Ford was born in Dearborn Township , Mich .","Explanation: Henry Ford was born in Dearborn Township, Mich., suggesting he lived there.</s>","[['Henry Ford', 'Live_In', 'Dearborn Township , Mich']]"
"TEXT: Today 's Highlight in History : On Jan. 8 , 1935 , rock-and-roll legend Elvis Presley was born in Tupelo , Miss .","Explanation: Elvis Presley was born in Tupelo, Miss., where he lived.</s>","[['Elvis Presley', 'Live_In', 'Tupelo , Miss']]"
"TEXT: ADDIS ABABA , Ethiopia ( AP )",Explanation: ADDIS ABABA is a place located in Ethiopia.</s>,"[['ADDIS ABABA', 'Located_In', 'Ethiopia']]"
