text,gold_labels,generated
Police Find No Signs of Radiation Leak AU0202111694 Paris AFP in English 0107 GMT 2 Feb 94,"[['AFP', 'OrgBased_In', 'Paris']]","[['AFP', 'OrgBased_In', 'Paris']]"
It was filmed on location in Tokyo and Kyoto and is a co-production of Children 's Television Worship and NHK network in Japan .,"[['Tokyo', 'Located_In', 'Japan'], ['Kyoto', 'Located_In', 'Japan']]","[['Tokyo', 'Located_In', 'Japan'], ['NHK network', 'OrgBased_In', 'Japan']]"
"The self-propelled rig Avco 5 with 14 people aboard was headed to shore early Monday when it capsized about 20 miles off the Louisiana coast , near Morgan City , Chevron spokesman Jonathan Lifa said.","[['Jonathan Lifa', 'Work_For', 'Chevron']]","[['Avco 5', 'Located_In', 'Louisiana'], ['Jonas Lifa', 'Work_For', 'Chryslel'], ['Jonas Lifa', 'Work_For', 'Chevron'], ['Morgan City', 'Located_In', 'Louisiana']]"
"Sen. Jake Garn , R-Utah , flew on the shuttle in April 1985 and Rep. Bill Nelson , D-Fla. , was aboard in January 1986 , at the invitation of NASA 's administrator .","[['Jake Garn', 'Work_For', 'NASA'], ['Bill Nelson', 'Work_For', 'NASA']]","[['Jake Garn', 'Work_For', 'NASA']]"
Ten Soviet volunteers and their American counterparts plan to spend August in Washington building homes for the poor as a return favor for help in earthquake-devastated Soviet Armenia.,"[['Armenia.', 'Located_In', 'Soviet']]","[['Washington', 'Located_In', 'Soviet']]"
"Evaluating Juppe 's visit , Cetin said that the French Government was not displaying a disturbing stand toward Turkey and was very careful in not intervening in Turkey 's internal affairs .","[['Juppe', 'Work_For', 'French Government'], ['Cetin', 'Live_In', 'Turkey'], ['Cetin', 'Live_In', 'Turkey']]","[['Cetin', 'Live_In', 'Turkey']]"
"Jose Vicente Maldonado , the Ecuadoran minister of industry , commerce , and integration , said that the foreign of the Andean Group ( Colombia , Bolivia , Ecuador , Peru , and Venezuela ) , will study a new date for the summit .","[['Andean Group', 'OrgBased_In', 'Colombia'], ['Andean Group', 'OrgBased_In', 'Bolivia'], ['Andean Group', 'OrgBased_In', 'Ecuador'], ['Andean Group', 'OrgBased_In', 'Peru'], ['Andean Group', 'OrgBased_In', 'Venezuela']]","[['Juan Vicente Maldonado', 'Live_In', 'Ecuador'], ['Juan Vicente Maldonado', 'Work_For', 'Ecuador']]"
"Dole 's wife , Elizabeth , is a native of Salisbury , N.C .","[['Elizabeth', 'Live_In', 'Salisbury , N.C']]","[['Elizabeth', 'Live_In', 'Salisbury, N.C']]"
"( Text ) Sofia , February 15 ( BTA ) -- Today the two main political forces in Bulgaria , the Bulgarian Socialist ( formerly Communist ) Party ( BSP ) and the Union of Democratic Forces ( SDS ) announced their stand on the possible airstrikes in Bosnia five days before the expiry of NATO 's ultimatum .","[['BTA', 'OrgBased_In', 'Sofia'], ['Bulgarian Socialist ( formerly Communist ) Party', 'OrgBased_In', 'Bulgaria'], ['BSP', 'OrgBased_In', 'Bulgaria'], ['Union of Democratic Forces', 'OrgBased_In', 'Bulgaria'], ['SDS', 'OrgBased_In', 'Bulgaria']]","[['Bulgarian Socialist Party', 'OrgBased_In', 'Sofia'], ['Bulgarian Socialist Party', 'OrgBased_In', 'Sofia'], ['Bulgarian Socialist Party', 'OrgBased_In', 'Sofia'], ['Union of Democratic Forces', 'OrgBased_In', 'Sofia'], ['SDS', 'OrgBased_In', 'Sofia']]"
"Starr , who served as counselor to Attorney William French Smith from 1981 prior to taking the bench in 1983 , had been mentioned as a possible Supreme Court nominee after his former colleague on the District of Columbia circuit , Robert Bork , failed to win Senate confirmation in 1987 .","[['Supreme Court', 'OrgBased_In', 'District of Columbia'], ['Senate', 'OrgBased_In', 'District of Columbia']]","[['Starr', 'Work_For', 'Supreme Court'], ['Robert Bork', 'Work_For', 'District of Columbia circuit']]"
"The program , financed with a grant from the United States Agency for International Development , is aimed at reducing infant mortality in Madagascar , an island nation in the Indian Ocean off the eastern coast of Africa.","[['Madagascar', 'Located_In', 'Indian Ocean']]","[['Madanic', 'Located_In', 'Indian Ocean']]"
JN0704183294 Paris Radio Monte Carlo in Arabic 1700 GMT 7 Apr 94,"[['Radio Monte Carlo', 'OrgBased_In', 'Paris']]","[['Radio Monte Carlo', 'OrgBased_In', 'Paris']]"
"On this date : In 1533 , the last Incan King of Peru , Atahualpa , was murdered on the orders of Spanish conqueror Francisco Pizarro .","[['Francisco Pizarro', 'Kill', 'Atahualpa']]","[['Francisco Pizarro', 'Kill', 'Atahualpa']]"
"` ` We 'd play hearts for hours at a time , ' ' said Atlanta businessman Neil Estes.","[['Neil Estes.', 'Live_In', 'Atlanta']]","[['Neil Estes.', 'Live_In', 'Atlanta']]"
"Minox has not shown a profit since 1981 , and on April 1 , 1988 , Robert C. Corduwener , a Netherlands businessman bought a 51 percent share of the company to take control from the Rinn family .","[['Robert C. Corduwener', 'Live_In', 'Netherlands']]","[['Robert C. Corduwener', 'Live_In', 'Norway']]"
"Volcanoes in Nicaragua and Indonesia , deforestation in Brazil and Madagascar , the Sahara desert in Africa and global beach erosion are among the subjects to be photographed .","[['Sahara desert', 'Located_In', 'Africa']]","[['Sahara desert', 'Located_In', 'Africa']]"
"` ` This is really hurting Heuchelheim , ' ' the town 's mayor Willi Marx told The Associated Press in an interview at his office earlier this month .","[['Willi Marx', 'Live_In', 'Heuchelheim']]","[['Willi Marx', 'Live_In', 'Heuchelheim']]"
"` ` I think at this moment they fear making a wrong move _ whether they should seek political asylum or use other reasons to remain here , ' ' said Jeff Shia , president of the Kiangsu Chekiang Association , a non-profit group that helps new Chinese immigrants establish themselves in the city.","[['Jeff Shia', 'Work_For', 'Kiangsu Chekiang Association']]","[['Jeff Shia', 'Work_For', 'Kiangsu Chekiang Association']]"
"The term ` ` 30 Seconds Over Tokyo ' ' was the title of a popular movie about the raid. _Anzio _ The Anzio beachhead , 33 miles south of Rome , saw some of the bloodiest fighting of World War II and accounted for many of the 10 , 000 U.S. battle deaths in Italy the first half of 1944 .","[['Anzio', 'Located_In', 'Italy']]","[['Anzio', 'Located_In', 'Italy']]"
"Anna Sandhu Ray , who 10 years ago Thursday wed the man convicted of killing the Rev. Martin Luther King Jr. , said on her anniversary that she plans to divorce James Earl Ray .","[['James Earl Ray', 'Kill', 'Rev. Martin Luther King Jr.']]","[['James Earl Ray', 'Kill','Rev. Martin Luther King Jr.']]"
The 23-foot-tall statue was modeled after the 30-foot-tall Goddess of Democracy raised by Chinese pro-democracy demonstrators in Beijing 's Tiananmen Square on May 30.,"[['Tiananmen Square', 'Located_In', 'Beijing']]","[['Goddess of Democracy', 'Located_In', 'Beijing'], ['Tiananmen Square', 'Located_In', 'Beijing']]"
"( Text ) Ulaanbaatar , 29 Apr ( XINHUA ) -- China 's Premier Li Peng and Mongolian Prime P. Jasray signed the "" Treaty of Friendly Cooperation Relations Between the People 's Republic of China and Mongolia "" at the State Palace in the afternoon of 29 April .","[['XINHUA', 'OrgBased_In', 'China'], ['XINHUA', 'OrgBased_In', ""People 's Republic of China""], ['Li Peng', 'Live_In', 'China'], ['Li Peng', 'Live_In', ""People 's Republic of China""]]","[['XINHUA', 'OrgBased_In', 'Ulanbaatar'], ['XINHUA', 'OrgBased_In', 'Mongolian']]"
"In 1874 , Herbert Clark Hoover , the 31st president of the United States , was born in West Branch , Iowa .","[['Herbert Clark Hoover', 'Live_In', 'West Branch , Iowa']]","[['Herbert Clark Hoover', 'Live_In', 'West Branch, Iowa']]"
"( Text ) The Rwandan Patriotic Front ( RPF ) has rescued 2 , 000 people in Bugesera in the southeastern part of Rwanda .","[['Bugesera', 'Located_In', 'Rwanda']]","[['Bugesera', 'Located_In', 'Ruand']]"
"One of Warner 's lawyers , Andrew Hall of Miami , Fla. , confirmed Tuesday that Warner is trying to settle the case.","[['Andrew Hall', 'Live_In', 'Miami'], ['Andrew Hall', 'Live_In', 'Fla.'], ['Miami', 'Located_In', 'Fla.']]","[['Andrew Hall', 'Live_In', 'Miami'], ['Andrew Hall', 'Live_In', 'Fla.']]"
"GRAND RAPIDS , Mich .","[['GRAND RAPIDS', 'Located_In', 'Mich .']]","[['GRAND RAPIDS', 'Located_In', 'Mich.']]"
"New Jersey Gov. Thomas Kean , who is leaving office after two terms at the end of this year , was greeted with effuse public praise by his colleagues during the conference.","[['Thomas Kean', 'Live_In', 'New Jersey']]","[['Thomas Kean', 'Live_In', 'New Jersey']]"
"` ` The country was starved of resources , ' ' said Marcos Victorica , director of the Institute of Contemporary Studies.","[['Marcos Victorica', 'Work_For', 'Institute of Contemporary Studies.']]","[['Marcos Victorica', 'Work_For', 'Institute of Contemporary Studies']]"
Excess Lira Reportedly Causes Currency Crisis NC1901223094 London Kanal-6 Television in Turkish 1700 GMT 19 Jan 94,"[['Kanal-6 Television', 'OrgBased_In', 'London']]","[['Kanal-6 Television', 'OrgBased_In', 'London']]"
""" This is the Garrett place where John Wilkes Booth , assassin of Lincoln , was cornered by Union soldiers and killed April 26 , 1865 .","[['John Wilkes Booth', 'Kill', 'Lincoln']]","[['John Wilkes Booth', 'Kill', 'Lincoln']]"
"BANGKOK , Thailand ( AP )","[['BANGKOK', 'Located_In', 'Thailand']]","[['BANGKOK', 'Located_In', 'Thailand'], ['AP', 'OrgBased_In', 'BANGKOK'], ['AP', 'OrgBased_In', 'Thailand']]"
"Joseph Cicippio , 58 , was acting comptroller at the American University of Beirut when he was kidnapped from the campus Sept. 12 , 1986.","[['Joseph Cicippio', 'Work_For', 'American University of Beirut']]","[['Joe Cicippio', 'Work_For', 'American University']]"
"The Santa Ana winds _ also called ` ` devil winds ' ' _ are spun off by high pressure over the interior of the country , picking up speed as they move from Southern California 's deserts through mountain passes and roar down on adjacent communities .","[['Santa Ana', 'Located_In', 'Southern California']]","[['Santa Ana winds', 'Located_In', 'Southern California']]"
FL2706231194 Havana Radio Reloj Network in Spanish 1402 GMT 27 Jun 94,"[['Radio Reloj Network', 'OrgBased_In', 'Havana']]","[['Radio Reloj Network', 'OrgBased_In', 'Havana']]"
"` ` Our white paper , market pulp and packaging businesses turned in particularly impressive results in 1988 , ' ' said John A. Georges , International Paper 's chairman and chief executive officer .","[['John A. Georges', 'Work_For', 'International Paper']]","[['John A. Georges', 'Work_For', 'International Paper']]"
The FA-18 Hornet was on a mission to Pinecastle Electronic Warfare Range in the Ocala National Forest when the bomb tumbled free at 1 : 50 p.m .,"[['Pinecastle Electronic Warfare Range', 'Located_In', 'Ocala National Forest']]","[['Pinnacle Electronic Warfare Range', 'Located_In', 'Ocala National Forest']]"
"EAST LANSING , Mich.","[['EAST LANSING', 'Located_In', 'Mich.']]","[['LANSING', 'Located_In', 'Mich.']]"
"Born in Athens , Psacharopoulos came to the United States at age 17 to enter Oberlin College , where he studied art history .","[['Oberlin College', 'OrgBased_In', 'United States']]","[['Psacharopoulos', 'Live_In', 'Athens']]"
"Two days later , Perry operated on Kennedy 's assassin , Lee Harvey Oswald , who had just been shot by Jack Ruby .","[['Lee Harvey Oswald', 'Kill', 'Kennedy'], ['Jack Ruby', 'Kill', 'Lee Harvey Oswald']]","[['Lee Harvey Oswald', 'Kill', 'Kennedy']]"
"The prime was accompanied by his wife , Datuk Sri Datin Paduka Dr. Siti Hasmah and the deputy secretary of the Foreign Ministry , Datuk Abdul Halim Ali , during his brief visit to South Africa .","[['Datuk Abdul Halim Ali', 'Work_For', 'Foreign Ministry']]","[['Datuk Sri Datin Paduka Dr. Siti Hasmah', 'Work_For', 'Foreign Ministry'], ['Datuk Abdul Halim Ali', 'Work_For', 'Foreign Ministry']]"
"The federal appeals court previously overturned a key provision of Arizona 's death penalty statute in the case of John Harvey Adamson , convicted of murdering reporter Don Bolles .","[['John Harvey Adamson', 'Kill', 'Don Bolles']]","[['John Harvey Adamson', 'Kill', 'Don Bolles']]"
"The movie 's script remains a secret , but Stone has said Kevin Costner will star as New Orleans prosecutor Jim Garrison , who said that Kennedy was the victim of an FBI and CIA conspiracy and that Lee Harvey Oswald , identified by a presidential commission as the lone assassin , was set up to take the blame. ;","[['Lee Harvey Oswald', 'Kill', 'Kennedy']]","[['Kenneth Costner', 'Kill', 'Kenneth Kennedy']]"
"Becton Dickinson sells needle containers to doctors and hospitals but may develop a container for home use , said Linda Schmitt , an assistant product manager.","[['Linda Schmitt', 'Work_For', 'Becton Dickinson']]","[['Becton Dickinson', 'Work_For', 'Doctors'], ['Linda Schmitt', 'Work_For', 'Assist Product Manager']]"
The police files on Kennedy 's shooting could shed new light on persistent questions about whether Sirhan Bishara Sirhan was the only gunman in the shooting .,"[['Sirhan Bishara Sirhan', 'Kill', 'Kennedy']]","[['Serhan Bishara Sirhan', 'Kill', 'Kennedy']]"
NC1404123794 Cairo AL-AHALI in Arabic 6 Apr 94 p 6,"[['AL-AHALI', 'OrgBased_In', 'Cairo']]","[['AL-AHALI', 'OrgBased_In', 'Cairo']]"
"In 1936 , rock legend Buddy Holly was born Charles Hardin Holley in Lubbock , Texas .","[['Buddy Holly', 'Live_In', 'Lubbock , Texas'], ['Charles Hardin Holley', 'Live_In', 'Lubbock , Texas']]","[['Buddy Holly', 'Live_In', 'Lucbock, Texas']]"
"Belli 's clients have included Jack Ruby , who killed John F. Kennedy assassin Lee Harvey Oswald , and Jim and Tammy Bakker .","[['Jack Ruby', 'Kill', 'Lee Harvey Oswald'], ['Lee Harvey Oswald', 'Kill', 'John F. Kennedy']]","[['Jack Ruby', 'Kill', 'Lee Harvey Oswald']]"
"Bosnia 's capital , Sarajevo , is best-known as the site of the assassination in 1914 of Austrian Archduke Franz Ferdinand by young Bosnian nationalist Gavrilo Princip , which was the spark that ignited World War I. No single party appeared likely to win a clear majority in Bosnia 's 240-seat bicameral parliament .","[['Sarajevo', 'Located_In', 'Bosnia'], ['Gavrilo Princip', 'Kill', 'Austrian Archduke Franz Ferdinand']]","[['Gavrilo Princip', 'Kill', 'Austrian Archduke Franz Ferdinand']]"
Walesa said Solidarity wants to avoid unrest .,"[['Walesa', 'Work_For', 'Solidarity']]","[['So Solidarity', 'OrgBased_In', 'Wales']]"
"In 1817 , naturalist-author Henry David Thoreau was born in Concord , Mass .","[['Henry David Thoreau', 'Live_In', 'Concord , Mass']]","[['Henry David Thoreau', 'Live_In', 'Concordia, Mass']]"
